week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,5.219,2.118,3.7929,2020-12-31
2,5.235,2.201,3.721,2021-01-07
3,4.977,2.311,3.6648,2021-01-14
4,5.492,2.432,3.8441,2021-01-21
5,5.1,1.979,3.7179,2021-01-28
6,5.027,1.94,3.5457,2021-02-04
7,4.889,2.009,3.5625,2021-02-11
8,4.994,1.815,3.4135,2021-02-18
9,5.068,1.468,3.4699,2021-02-25
10,5.061,1.985,3.3926,2021-03-04
11,4.96,1.887,3.5127,2021-03-11
12,4.549,1.829,3.2466,2021-03-18
13,4.958,1.511,3.2846,2021-03-25
14,4.996,1.518,3.2463,2021-04-01
15,4.696,1.635,3.2413,2021-04-08
16,4.79,1.391,3.1521,2021-04-15
17,4.69,1.353,3.289,2021-04-22
18,5.241,2.031,3.3363,2021-04-29
19,4.734,1.512,3.208,2021-05-06
20,4.751,1.968,3.2873,2021-05-13
21,5.037,1.27,3.1653,2021-05-20
22,4.788,1.569,3.2479,2021-05-27
23,4.726,1.499,3.3254,2021-06-03
24,6.871,1.778,3.6074,2021-06-10
25,5.285,2.428,3.8048,2021-06-17
26,5.256,2.35,3.7268,2021-06-24
27,5.369,2.382,3.8019,2021-07-01
28,5.84,3.017,4.2529,2021-07-08
29,6.691,3.198,4.5918,2021-07-15
30,6.078,3.275,4.4189,2021-07-22
31,6.485,2.802,4.4247,2021-07-29
32,6.777,2.301,4.2895,2021-08-05
33,6.966,3.24,4.8586,2021-08-12
34,6.309,2.838,4.2161,2021-08-19
35,7.235,3.142,4.5438,2021-08-26
36,6.825,3.035,4.472,2021-09-02
37,6.868,2.963,4.6906,2021-09-09
38,6.932,2.096,4.134,2021-09-16
39,6.208,2.822,4.0862,2021-09-23
40,5.741,2.908,4.123,2021-09-30
41,5.062,2.032,3.6752,2021-10-07
42,5.108,2.169,3.6045,2021-10-14
43,4.876,2.069,3.5726,2021-10-21
44,5.264,2.248,3.6977,2021-10-28
45,4.987,1.92,3.584,2021-11-04
46,5.549,2.372,3.7547,2021-11-11
47,5.174,2.336,3.6574,2021-11-18
