week_number,weekly_max_temperature,weekly_min_temperature,weekly_avg_temperature,weekly_max_irradiance,weekly_min_irradiance,weekly_avg_irradiance,weekly_max_cloud_cover,weekly_min_cloud_cover,weekly_avg_cloud_cover
1,23.7,7.1,12.89,831.0,0.0,206.87,100,0,32.0
2,15.4,6.7,11.51,818.0,0.0,206.63,100,1,56.75
3,16.1,6.5,11.46,875.0,0.0,230.26,100,0,34.79
4,22.8,7.7,13.21,929.0,0.0,248.84,100,0,22.55
5,25.6,9.6,15.39,961.0,0.0,273.59,100,0,33.23
6,18.5,11.8,15.17,946.0,0.0,271.14,100,0,59.57
7,26.7,11.7,15.19,993.0,0.0,254.16,100,0,61.59
8,21.0,12.8,15.2,994.0,0.0,230.41,100,0,64.6
9,22.3,10.5,15.79,1002.0,0.0,285.04,100,0,42.04
10,19.5,14.0,16.59,987.0,0.0,291.05,100,0,52.44
11,19.5,13.8,16.54,996.0,0.0,258.26,100,0,59.49
12,19.3,11.8,16.43,1009.0,0.0,290.12,100,0,48.27
13,21.8,13.5,17.01,1013.0,0.0,320.96,100,0,45.48
14,19.6,14.5,17.24,987.0,0.0,312.77,100,0,48.49
15,21.4,14.0,17.58,1022.0,0.0,317.28,100,0,39.17
16,24.9,16.2,19.49,1000.0,0.0,320.21,100,0,43.32
17,22.3,16.3,19.21,994.0,0.0,311.54,100,0,29.76
18,22.0,17.3,19.74,964.0,0.0,299.39,100,0,43.07
19,23.5,17.3,20.41,993.0,0.0,319.67,100,0,17.23
20,24.2,18.8,21.34,955.0,0.0,315.62,100,0,22.49
21,24.6,19.3,21.81,954.0,0.0,286.98,100,0,56.21
22,23.9,17.3,20.91,970.0,0.0,288.76,100,0,39.23
23,23.8,17.0,20.08,972.0,0.0,311.87,100,0,26.18
24,25.4,17.9,21.76,940.0,0.0,284.16,100,0,20.55
25,24.6,19.4,21.72,901.0,0.0,229.82,100,0,46.68
26,25.8,17.7,21.37,930.0,0.0,284.28,100,0,23.35
27,26.6,17.4,21.29,909.0,0.0,252.89,100,0,42.62
28,26.0,19.1,22.22,877.0,0.0,258.21,100,0,24.86
29,23.3,15.3,19.54,892.0,0.0,256.07,100,0,30.78
30,26.5,16.1,20.76,858.0,0.0,231.37,100,0,33.49
31,27.7,15.4,20.7,845.0,0.0,216.57,100,0,45.64
32,25.9,13.9,19.12,783.0,0.0,158.97,100,0,61.45
33,26.9,11.1,17.46,746.0,0.0,191.26,100,0,8.28
34,20.1,11.4,16.13,679.0,0.0,161.04,100,0,45.02
35,24.2,11.2,17.06,654.0,0.0,150.61,100,0,40.89
36,19.9,12.2,15.74,641.0,0.0,147.08,100,0,48.65
37,28.7,11.4,18.77,634.0,0.0,162.1,100,0,18.08
38,28.6,11.3,16.19,635.0,0.0,143.54,100,0,67.27
39,26.5,10.3,17.43,625.0,0.0,152.64,100,0,15.52
40,20.3,10.1,14.46,591.0,0.0,134.15,100,0,31.35
41,18.0,7.3,13.16,571.0,0.0,107.52,100,0,48.15
42,17.5,5.9,11.64,580.0,0.0,110.1,100,0,43.7
43,16.3,5.8,12.49,576.0,0.0,88.9,100,0,85.65
44,15.1,5.9,11.5,581.0,0.0,93.24,100,0,58.87
45,17.3,5.2,11.49,584.0,0.0,140.74,100,0,33.58
46,21.8,10.5,15.76,596.0,0.0,108.16,100,0,82.95
47,19.5,8.2,13.96,622.0,0.0,139.68,100,0,27.54
48,21.3,7.8,12.99,668.0,0.0,152.41,100,0,35.04
