week_number,weekly_max_temperature,weekly_min_temperature,weekly_avg_temperature,weekly_max_irradiance,weekly_min_irradiance,weekly_avg_irradiance,weekly_max_cloud_cover,weekly_min_cloud_cover,weekly_avg_cloud_cover
1,19.8,6.0,13.24,836.0,0.0,196.43,100,0,46.57
2,15.8,7.1,11.56,817.0,0.0,189.5,100,0,54.83
3,18.5,5.8,12.39,899.0,0.0,250.51,100,0,24.76
4,26.9,7.4,14.32,943.0,0.0,246.46,100,0,29.62
5,28.8,9.8,17.1,957.0,0.0,274.79,100,0,36.02
6,22.0,11.9,16.11,960.0,0.0,276.73,100,0,60.49
7,28.3,11.6,16.2,999.0,0.0,267.17,100,0,52.58
8,18.2,12.7,15.23,973.0,0.0,208.38,100,1,77.61
9,25.6,9.9,16.83,1003.0,0.0,294.61,100,0,35.67
10,20.9,13.3,16.63,990.0,0.0,288.21,100,0,52.96
11,20.4,12.6,16.81,977.0,0.0,246.03,100,0,67.56
12,23.2,10.8,16.79,1014.0,0.0,299.86,100,0,43.79
13,23.6,13.7,17.09,1024.0,0.0,313.95,100,0,51.35
14,21.6,13.9,17.59,1002.0,0.0,292.11,100,0,54.15
15,23.6,13.2,18.43,1031.0,0.0,337.23,100,0,35.53
16,27.7,16.4,20.09,988.0,0.0,320.24,100,0,33.47
17,23.1,16.6,19.88,1000.0,0.0,294.39,100,0,44.12
18,23.8,17.1,20.26,992.0,0.0,299.76,100,0,43.24
19,25.0,17.0,20.85,997.0,0.0,318.21,100,0,18.74
20,26.7,18.4,22.11,961.0,0.0,313.46,100,0,22.2
21,26.3,18.6,21.82,950.0,0.0,255.85,100,0,67.53
22,26.9,17.0,22.16,977.0,0.0,319.21,100,0,23.16
23,25.5,16.5,20.34,971.0,0.0,307.27,100,0,25.72
24,27.2,19.2,22.96,937.0,0.0,282.67,100,0,22.35
25,25.0,18.5,21.63,902.0,0.0,194.67,100,0,64.94
26,28.7,16.4,22.44,930.0,0.0,277.88,100,0,28.89
27,28.0,18.1,21.84,909.0,0.0,255.76,100,0,45.72
28,29.1,18.2,23.17,890.0,0.0,259.0,100,0,22.59
29,23.2,14.9,19.46,891.0,0.0,251.41,100,0,28.25
30,28.5,17.1,21.34,841.0,0.0,214.09,100,0,45.91
31,29.9,14.2,21.24,851.0,0.0,212.38,100,0,46.17
32,23.2,13.0,18.49,788.0,0.0,157.82,100,0,57.89
33,28.2,8.7,17.39,745.0,0.0,189.92,100,0,10.82
34,21.8,9.4,16.44,692.0,0.0,152.2,100,0,49.78
35,27.4,10.8,17.79,663.0,0.0,163.05,100,0,39.91
