week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,11.057,1.168,4.9204,2020-12-31
2,10.75,1.169,4.9694,2021-01-07
3,10.63,1.258,4.8722,2021-01-14
4,10.679,1.338,5.0104,2021-01-21
5,11.204,1.135,4.9195,2021-01-28
6,10.917,0.994,4.788,2021-02-04
7,10.705,1.004,4.8479,2021-02-11
8,10.939,0.935,4.7319,2021-02-18
9,10.784,0.754,4.7627,2021-02-25
10,11.215,1.051,4.7275,2021-03-04
11,10.849,0.946,4.7513,2021-03-11
12,10.689,0.961,4.6109,2021-03-18
13,10.915,0.804,4.6462,2021-03-25
14,11.126,0.795,4.6381,2021-04-01
15,10.949,0.86,4.6249,2021-04-08
16,10.722,0.762,4.5667,2021-04-15
17,10.873,0.682,4.6186,2021-04-22
18,11.131,1.066,4.6935,2021-04-29
19,10.954,0.777,4.604,2021-05-06
20,10.92,0.998,4.6475,2021-05-13
21,10.738,0.653,4.5443,2021-05-20
22,10.929,0.798,4.6381,2021-05-27
23,11.036,0.798,4.6675,2021-06-03
24,12.02,0.904,4.8615,2021-06-10
25,11.223,1.249,4.9836,2021-06-17
26,11.237,1.192,4.9348,2021-06-24
27,11.098,1.247,4.9775,2021-07-01
28,11.552,1.517,5.2703,2021-07-08
29,12.181,1.688,5.4874,2021-07-15
30,11.912,1.732,5.3785,2021-07-22
31,11.454,1.435,5.4052,2021-07-29
32,12.62,1.193,5.3064,2021-08-05
33,12.104,1.642,5.6441,2021-08-12
34,11.365,1.434,5.2281,2021-08-19
35,12.047,1.651,5.4292,2021-08-26
36,11.663,1.645,5.4224,2021-09-02
37,11.802,1.622,5.5539,2021-09-09
38,11.937,1.052,5.1869,2021-09-16
39,11.013,1.503,5.1621,2021-09-23
40,11.405,1.407,5.1854,2021-09-30
41,10.867,1.064,4.894,2021-10-07
42,10.696,1.135,4.8551,2021-10-14
43,10.565,1.123,4.8333,2021-10-21
44,11.11,1.187,4.8933,2021-10-28
45,10.838,1.009,4.8805,2021-11-04
46,10.824,1.266,4.9138,2021-11-11
47,10.586,1.16,4.865,2021-11-18
48,10.786,1.188,4.8288,2021-11-25
49,11.313,1.257,5.0632,2021-12-02
50,10.972,1.032,5.1394,2021-12-09
51,11.114,1.08,5.101,2021-12-16
52,10.878,1.244,5.0828,2021-12-23
53,10.933,0.995,4.9553,2021-12-30
54,10.874,1.186,4.9763,2022-01-06
55,10.623,1.338,4.9247,2022-01-13
56,10.805,1.052,4.9205,2022-01-20
57,10.777,1.061,4.983,2022-01-27
58,10.97,1.021,4.8452,2022-02-03
59,10.981,1.194,4.8791,2022-02-10
60,11.075,1.015,4.8239,2022-02-17
61,10.766,0.965,4.7893,2022-02-24
62,10.957,1.028,4.7375,2022-03-03
63,10.92,0.956,4.6602,2022-03-10
64,11.211,0.881,4.7251,2022-03-17
65,10.698,0.675,4.668,2022-03-24
66,11.258,1.033,4.7654,2022-03-31
67,11.027,0.914,4.8112,2022-04-07
68,10.848,0.655,4.562,2022-04-14
69,10.67,0.698,4.5645,2022-04-21
70,10.899,0.76,4.5687,2022-04-28
71,10.59,0.915,4.5751,2022-05-05
72,11.56,0.928,4.7343,2022-05-12
73,11.618,0.773,4.7552,2022-05-19
74,11.102,0.62,4.606,2022-05-26
75,10.869,0.795,4.7413,2022-06-02
76,11.223,1.065,4.9137,2022-06-09
77,11.752,0.771,4.8808,2022-06-16
78,11.719,1.245,5.3322,2022-06-23
79,11.684,0.941,5.0698,2022-06-30
80,11.371,1.135,5.0552,2022-07-07
81,12.16,1.447,5.2964,2022-07-14
82,11.655,1.371,5.2753,2022-07-21
83,12.151,1.756,5.5106,2022-07-28
84,12.592,1.662,5.7324,2022-08-04
85,12.794,1.941,5.9153,2022-08-11
86,12.427,1.612,5.5755,2022-08-18
87,12.478,1.566,5.7168,2022-08-25
88,13.221,2.482,6.5433,2022-09-01
89,12.834,1.853,6.0372,2022-09-08
90,11.373,1.122,5.1675,2022-09-15
91,12.251,1.649,5.6265,2022-09-22
92,11.407,1.255,5.2982,2022-09-29
93,11.883,1.484,5.3226,2022-10-06
94,11.553,1.566,5.2049,2022-10-13
95,11.522,1.088,5.0634,2022-10-20
96,11.315,1.158,4.9213,2022-10-27
97,11.234,1.072,4.9748,2022-11-03
98,11.191,1.064,4.9102,2022-11-10
99,11.031,1.209,4.9465,2022-11-17
100,11.659,0.999,4.857,2022-11-24
101,11.28,1.181,5.0033,2022-12-01
102,11.584,1.059,5.1919,2022-12-08
103,11.052,1.319,5.1826,2022-12-15
104,11.139,1.11,5.0182,2022-12-22
105,11.169,1.489,5.0913,2022-12-29
106,11.525,0.982,5.0755,2023-01-05
107,11.027,1.293,5.1157,2023-01-12
108,11.314,1.086,5.0476,2023-01-19
109,11.506,1.268,5.0384,2023-01-26
110,11.437,0.916,4.9189,2023-02-02
111,11.224,0.887,4.8983,2023-02-09
112,11.113,0.971,4.9369,2023-02-16
113,11.095,0.939,5.0865,2023-02-23
114,11.003,0.972,4.8788,2023-03-02
115,11.243,1.096,4.8746,2023-03-09
116,11.424,0.782,4.8234,2023-03-16
117,11.143,0.789,4.731,2023-03-23
118,11.171,0.535,4.6719,2023-03-30
119,11.03,0.524,4.5779,2023-04-06
120,11.08,0.713,4.6884,2023-04-13
121,11.068,0.616,4.6273,2023-04-20
122,10.71,0.632,4.5921,2023-04-27
123,10.877,0.432,4.5318,2023-05-04
124,10.888,0.675,4.6467,2023-05-11
125,11.265,0.596,4.7942,2023-05-18
126,11.341,0.77,4.645,2023-05-25
127,11.029,0.372,4.6318,2023-06-01
128,11.248,0.921,4.7141,2023-06-08
129,11.29,0.927,4.7638,2023-06-15
130,11.126,0.55,4.6261,2023-06-22
