week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,3.444,1.456,2.5211,2020-12-31
2,3.382,1.522,2.4773,2021-01-07
3,3.378,1.612,2.4217,2021-01-14
4,3.732,1.691,2.5429,2021-01-21
5,3.378,1.337,2.4614,2021-01-28
6,3.469,1.283,2.342,2021-02-04
7,3.259,1.276,2.3669,2021-02-11
8,3.332,1.19,2.2574,2021-02-18
9,3.546,0.996,2.2942,2021-02-25
10,3.344,1.308,2.2486,2021-03-04
11,3.448,1.187,2.3273,2021-03-11
12,3.062,1.218,2.1496,2021-03-18
13,3.218,0.995,2.1807,2021-03-25
14,3.166,1.026,2.1537,2021-04-01
15,3.142,1.036,2.1469,2021-04-08
16,3.228,0.966,2.0881,2021-04-15
17,2.99,0.88,2.1716,2021-04-22
18,3.407,1.335,2.2213,2021-04-29
19,3.065,1.022,2.1278,2021-05-06
20,3.004,1.264,2.1841,2021-05-13
21,3.256,0.833,2.1012,2021-05-20
22,3.304,1.059,2.1548,2021-05-27
23,3.259,1.052,2.2025,2021-06-03
24,4.354,1.199,2.3978,2021-06-10
25,3.439,1.572,2.5363,2021-06-17
26,3.489,1.587,2.4671,2021-06-24
27,3.537,1.57,2.5201,2021-07-01
28,3.903,1.949,2.8229,2021-07-08
29,4.239,2.095,3.0399,2021-07-15
30,4.02,2.181,2.9318,2021-07-22
31,4.606,1.875,2.9491,2021-07-29
32,4.393,1.517,2.829,2021-08-05
33,4.548,2.091,3.2151,2021-08-12
34,4.244,1.866,2.7789,2021-08-19
35,4.545,2.123,2.9788,2021-08-26
36,4.359,2.055,2.9558,2021-09-02
37,4.611,2.095,3.0905,2021-09-09
38,4.491,1.423,2.7387,2021-09-16
39,4.145,1.863,2.7175,2021-09-23
40,3.826,1.874,2.7435,2021-09-30
41,3.358,1.332,2.4269,2021-10-07
42,3.279,1.48,2.3923,2021-10-14
43,3.325,1.421,2.3724,2021-10-21
44,3.425,1.511,2.4385,2021-10-28
45,3.423,1.243,2.3761,2021-11-04
46,3.819,1.711,2.488,2021-11-11
47,3.315,1.542,2.4167,2021-11-18
48,3.49,1.462,2.3576,2021-11-25
49,4.676,1.574,2.6039,2021-12-02
50,3.722,1.339,2.6909,2021-12-09
51,3.642,1.309,2.6259,2021-12-16
52,3.656,1.6,2.6522,2021-12-23
53,3.466,1.332,2.526,2021-12-30
54,3.425,1.576,2.5146,2022-01-06
55,3.509,1.786,2.5069,2022-01-13
56,3.396,1.385,2.426,2022-01-20
57,3.407,1.29,2.504,2022-01-27
58,3.281,1.297,2.3972,2022-02-03
59,3.459,1.56,2.4092,2022-02-10
60,3.385,1.308,2.3935,2022-02-17
61,3.209,1.293,2.3006,2022-02-24
62,3.324,1.305,2.2786,2022-03-03
63,3.166,1.191,2.2106,2022-03-10
64,3.744,1.09,2.2413,2022-03-17
65,3.357,0.822,2.1938,2022-03-24
66,3.57,1.28,2.2947,2022-03-31
67,3.972,1.223,2.3427,2022-04-07
68,3.217,0.858,2.0928,2022-04-14
69,3.304,0.843,2.0765,2022-04-21
70,3.154,1.033,2.0737,2022-04-28
71,3.102,1.139,2.1081,2022-05-05
72,3.482,1.18,2.2126,2022-05-12
73,3.118,0.981,2.2637,2022-05-19
74,3.191,0.808,2.1446,2022-05-26
75,3.376,1.029,2.2811,2022-06-02
76,3.493,1.357,2.4098,2022-06-09
77,3.776,0.897,2.4109,2022-06-16
78,4.097,1.589,2.8562,2022-06-23
79,3.92,1.298,2.58,2022-06-30
80,3.54,1.524,2.6008,2022-07-07
81,4.133,1.878,2.8205,2022-07-14
82,3.762,1.655,2.7833,2022-07-21
83,4.352,2.223,3.0449,2022-07-28
84,4.875,2.186,3.2805,2022-08-04
85,4.815,2.556,3.4486,2022-08-11
86,4.543,2.088,3.1237,2022-08-18
87,4.897,1.992,3.2504,2022-08-25
88,5.561,2.961,4.1011,2022-09-01
89,5.068,2.468,3.6194,2022-09-08
90,3.922,1.493,2.6932,2022-09-15
91,4.769,2.151,3.1664,2022-09-22
92,4.05,1.561,2.8258,2022-09-29
93,3.936,1.979,2.8554,2022-10-06
94,4.351,1.976,2.7856,2022-10-13
95,3.706,1.373,2.5797,2022-10-20
96,3.383,1.521,2.4567,2022-10-27
97,3.476,1.318,2.4599,2022-11-03
98,3.376,1.342,2.4302,2022-11-10
99,3.437,1.568,2.457,2022-11-17
100,3.443,1.328,2.4004,2022-11-24
101,3.552,1.55,2.5717,2022-12-01
102,3.668,1.379,2.7089,2022-12-08
103,3.636,1.751,2.7253,2022-12-15
104,3.556,1.483,2.5418,2022-12-22
105,3.637,1.887,2.6599,2022-12-29
106,3.529,1.322,2.6299,2023-01-05
107,3.548,1.72,2.6997,2023-01-12
108,3.518,1.409,2.5734,2023-01-19
109,3.502,1.659,2.5932,2023-01-26
110,3.415,1.232,2.4552,2023-02-02
111,3.418,1.107,2.4171,2023-02-09
112,3.397,1.269,2.4527,2023-02-16
113,3.593,1.195,2.6174,2023-02-23
114,3.284,1.236,2.3939,2023-03-02
115,3.324,1.332,2.4714,2023-03-09
116,3.333,0.965,2.378,2023-03-16
117,3.169,1.008,2.2743,2023-03-23
118,3.213,0.662,2.1895,2023-03-30
119,3.042,0.656,2.1164,2023-04-06
120,3.124,0.901,2.2508,2023-04-13
121,3.151,0.78,2.129,2023-04-20
122,3.082,0.769,2.133,2023-04-27
123,3.145,0.588,2.0668,2023-05-04
124,3.064,0.876,2.1962,2023-05-11
125,3.062,0.741,2.3278,2023-05-18
126,3.509,0.985,2.174,2023-05-25
127,3.64,0.486,2.183,2023-06-01
128,3.237,1.168,2.2777,2023-06-08
129,3.35,1.204,2.2948,2023-06-15
130,3.119,0.692,2.1126,2023-06-22
131,3.256,1.083,2.2762,2023-06-29
132,3.98,0.915,2.3919,2023-07-06
133,4.268,1.669,2.9581,2023-07-13
134,4.542,1.895,3.0068,2023-07-20
135,4.305,2.239,3.1472,2023-07-27
136,3.957,1.608,2.8964,2023-08-03
137,4.472,1.612,2.9535,2023-08-10
138,4.04,1.849,2.9228,2023-08-17
139,4.925,1.618,3.0488,2023-08-24
140,4.052,1.26,2.8782,2023-08-31
141,4.506,1.858,3.1717,2023-09-07
142,3.535,1.551,2.6743,2023-09-14
143,3.508,1.073,2.5678,2023-09-21
144,3.636,1.255,2.4614,2023-09-28
145,4.139,1.509,2.7214,2023-10-05
146,3.794,1.036,2.5252,2023-10-12
147,3.877,0.993,2.5934,2023-10-19
148,3.457,1.051,2.4091,2023-10-26
149,3.363,1.377,2.4361,2023-11-02
150,3.37,1.145,2.4568,2023-11-09
151,3.446,1.644,2.4723,2023-11-16
152,3.369,1.105,2.3944,2023-11-23
153,3.457,1.192,2.5598,2023-11-30
154,3.483,1.463,2.5856,2023-12-07
155,3.582,1.788,2.6288,2023-12-14
156,3.376,1.646,2.5232,2023-12-21
157,3.532,1.612,2.5288,2023-12-28
158,3.55,1.44,2.6415,2024-01-04
159,3.511,1.554,2.5824,2024-01-11
160,3.574,1.805,2.6247,2024-01-18
161,3.364,1.29,2.394,2024-01-25
162,3.53,1.286,2.6655,2024-02-01
163,3.353,1.282,2.4681,2024-02-08
164,3.326,1.126,2.4451,2024-02-15
165,3.283,1.312,2.413,2024-02-22
166,3.316,1.447,2.395,2024-02-29
167,3.184,0.926,2.2842,2024-03-07
168,3.339,0.917,2.2594,2024-03-14
169,3.065,1.156,2.2196,2024-03-21
170,3.162,1.112,2.282,2024-03-28
171,3.156,0.879,2.1789,2024-04-04
172,3.063,0.973,2.1666,2024-04-11
173,3.093,0.861,2.2004,2024-04-18
174,3.058,0.878,2.1731,2024-04-25
175,3.058,0.806,2.1566,2024-05-02
176,3.17,0.907,2.1549,2024-05-09
177,3.055,0.656,2.1481,2024-05-16
178,3.133,0.667,2.1008,2024-05-23
179,3.208,0.791,2.1778,2024-05-30
180,3.112,1.027,2.2596,2024-06-06
181,3.237,0.738,2.1928,2024-06-13
182,4.09,1.314,2.6964,2024-06-20
183,3.797,1.215,2.5705,2024-06-27
184,3.8,1.545,2.739,2024-07-04
185,3.925,1.634,2.7444,2024-07-11
186,4.357,1.981,3.0142,2024-07-18
187,4.608,1.537,2.9386,2024-07-25
188,4.63,1.978,3.1685,2024-08-01
189,4.825,1.842,3.1237,2024-08-08
190,4.77,1.698,3.1199,2024-08-15
191,4.246,1.588,2.8872,2024-08-22
192,4.844,1.742,2.936,2024-08-29
193,5.744,2.26,3.9227,2024-09-05
194,3.431,1.644,2.6451,2024-09-12
195,3.518,1.4,2.5615,2024-09-19
196,3.803,1.053,2.5323,2024-09-26
197,3.8,1.56,2.7231,2024-10-03
198,3.834,1.373,2.6274,2024-10-10
199,3.764,1.323,2.5467,2024-10-17
200,3.536,1.643,2.5996,2024-10-24
201,3.383,1.524,2.46,2024-10-31
202,3.47,1.272,2.4167,2024-11-08
203,3.438,1.522,2.516,2024-11-15
204,3.289,1.474,2.5192,2024-11-22
205,3.408,1.423,2.5292,2024-11-29
206,3.447,1.446,2.6151,2024-12-06
207,3.651,1.719,2.6809,2024-12-13
208,3.392,1.666,2.619,2024-12-20
209,3.454,1.662,2.6346,2024-12-27
210,3.712,1.683,2.6439,2025-01-03
211,3.492,1.287,2.5918,2025-01-10
212,3.548,1.357,2.5618,2025-01-17
213,3.644,1.565,2.6515,2025-01-24
214,3.436,1.349,2.571,2025-01-31
215,3.652,1.221,2.6768,2025-02-07
216,3.321,1.221,2.4127,2025-02-14
217,3.29,1.299,2.3551,2025-02-21
218,3.405,1.566,2.478,2025-02-28
219,3.365,1.241,2.5701,2025-03-07
220,3.285,1.242,2.3742,2025-03-14
221,3.084,1.031,2.2717,2025-03-21
222,3.151,1.366,2.3563,2025-03-28
223,3.286,0.898,2.2001,2025-04-04
224,3.115,1.06,2.3133,2025-04-11
225,3.068,1.044,2.1833,2025-04-18
226,3.105,1.126,2.2086,2025-04-25
227,3.096,1.223,2.4145,2025-05-02
228,3.729,1.112,2.345,2025-05-09
229,3.444,1.49,2.3851,2025-05-16
230,3.09,1.215,2.3428,2025-05-23
231,3.361,1.854,2.658,2025-05-30
232,3.233,1.439,2.4486,2025-06-06
233,3.865,1.474,2.5722,2025-06-13
234,3.338,0.979,2.3911,2025-06-20
235,3.749,1.453,2.6106,2025-06-27
236,3.969,1.203,2.6706,2025-07-04
237,3.674,1.308,2.7464,2025-07-11
238,3.814,1.523,2.786,2025-07-18
239,3.639,1.239,2.6325,2025-07-25
240,4.371,1.529,2.8596,2025-08-01
241,3.922,2.057,2.9577,2025-08-08
242,4.641,1.624,2.9628,2025-08-15
243,4.68,2.517,3.5164,2025-08-22
244,4.826,2.422,3.5543,2025-08-29
245,4.334,2.156,3.1698,2025-09-05
246,4.728,1.996,3.2022,2025-09-12
247,4.457,2.297,3.2165,2025-09-19
248,3.955,1.723,2.8984,2025-09-26
249,3.716,1.441,2.7364,2025-10-03
250,3.748,1.818,2.7599,2025-10-10
251,3.434,1.829,2.594,2025-10-17
252,3.762,1.752,2.696,2025-10-24
253,4.191,1.642,2.7179,2025-10-31
254,3.514,1.541,2.7061,2025-11-07
255,3.644,1.897,2.6735,2025-11-14
256,3.555,1.812,2.6481,2025-11-21
