week_number,weekly_max_temperature,weekly_min_temperature,weekly_avg_temperature,weekly_max_irradiance,weekly_min_irradiance,weekly_avg_irradiance,weekly_max_cloud_cover,weekly_min_cloud_cover,weekly_avg_cloud_cover
1,23.5,3.7,13.19,836.0,0.0,213.32,100,0,31.37
2,15.2,3.5,10.15,754.0,0.0,170.18,100,0,65.37
3,19.4,1.6,10.86,880.0,0.0,213.08,100,0,47.95
4,29.1,3.9,12.6,938.0,0.0,239.12,100,0,31.55
5,29.5,7.9,17.64,970.0,0.0,280.33,100,0,27.17
6,25.2,10.3,16.82,954.0,0.0,281.46,100,0,49.75
7,29.8,9.3,15.19,1000.0,0.0,249.09,100,0,62.43
8,28.9,8.8,15.49,1004.0,0.0,215.58,100,0,66.49
9,32.2,6.1,16.4,1007.0,0.0,268.65,100,0,47.32
10,26.0,11.8,17.81,998.0,0.0,309.23,100,0,39.35
11,23.6,11.3,16.93,988.0,0.0,268.93,100,0,57.42
12,23.5,8.9,16.49,1014.0,0.0,282.02,100,0,50.54
13,29.4,10.2,18.72,1026.0,0.0,328.15,100,0,32.33
14,26.3,12.7,18.89,1004.0,0.0,324.93,100,0,39.43
15,29.6,11.5,19.19,1030.0,0.0,322.53,100,0,40.07
16,35.2,14.9,23.34,1008.0,0.0,327.08,100,0,35.82
17,30.1,14.4,20.98,1010.0,0.0,301.65,100,0,44.79
18,29.4,15.9,22.01,979.0,0.0,308.64,100,0,43.32
19,30.3,14.8,22.82,1006.0,0.0,324.82,100,0,26.67
20,29.3,16.5,23.08,958.0,0.0,315.38,100,0,23.21
21,31.2,17.1,23.6,969.0,0.0,289.66,100,0,59.19
22,30.6,15.6,22.89,976.0,0.0,293.2,100,0,45.13
23,33.0,15.7,23.46,981.0,0.0,317.56,100,0,19.26
24,31.5,16.2,24.47,954.0,0.0,283.21,100,0,17.67
25,32.0,17.7,22.42,918.0,0.0,208.8,100,0,62.17
26,34.1,15.0,23.94,936.0,0.0,282.95,100,0,28.81
27,33.8,16.0,23.11,915.0,0.0,255.93,100,0,41.43
28,33.0,17.9,25.1,883.0,0.0,261.52,100,0,19.91
29,31.3,13.8,21.16,900.0,0.0,259.59,100,0,44.56
30,33.4,14.2,22.67,868.0,0.0,229.14,100,0,39.9
31,34.9,10.1,21.36,855.0,0.0,215.81,100,0,44.36
32,29.2,9.4,18.96,792.0,0.0,148.91,100,0,70.48
33,31.1,4.6,16.49,785.0,0.0,203.17,100,0,11.33
34,23.0,5.8,14.77,723.0,0.0,163.25,100,0,50.42
35,31.7,7.2,17.39,685.0,0.0,163.12,100,0,33.49
36,26.0,10.2,16.81,660.0,0.0,161.39,100,0,43.55
37,33.0,8.8,18.85,652.0,0.0,168.48,100,0,20.24
38,28.8,8.1,16.09,649.0,0.0,148.95,100,0,65.28
39,29.4,4.8,17.05,630.0,0.0,152.03,100,0,16.87
40,26.4,7.2,15.26,599.0,0.0,142.46,100,0,30.05
41,20.9,2.6,12.02,582.0,0.0,107.43,100,0,47.19
42,19.0,0.4,9.29,592.0,0.0,109.55,100,0,44.87
43,18.4,-0.2,11.25,587.0,0.0,86.93,100,0,87.59
44,17.2,4.1,10.17,590.0,0.0,86.14,100,0,63.1
45,21.4,-0.1,10.86,596.0,0.0,141.45,100,0,32.4
46,25.4,7.4,16.21,606.0,0.0,109.01,100,0,82.76
47,21.9,4.6,13.36,629.0,0.0,138.93,100,0,31.25
48,21.4,3.6,12.84,675.0,0.0,156.78,100,0,32.14
49,23.9,0.9,11.66,708.0,0.0,168.11,100,0,27.21
50,30.6,5.2,18.2,757.0,0.0,200.54,100,0,5.58
51,26.5,2.3,12.11,770.0,0.0,191.62,100,0,26.02
52,22.5,-1.1,9.4,812.0,0.0,181.0,100,0,50.08
53,26.9,3.9,13.19,827.0,0.0,204.0,100,0,40.67
54,23.5,2.0,11.94,872.0,0.0,238.1,100,0,13.89
55,24.9,6.2,15.17,885.0,0.0,247.1,100,0,37.25
56,30.2,7.8,17.29,907.0,0.0,267.99,100,0,43.71
57,20.2,9.4,14.5,897.0,0.0,164.75,100,0,74.9
58,35.6,11.3,20.01,963.0,0.0,285.15,100,0,29.65
59,21.7,6.6,14.86,975.0,0.0,279.88,100,0,34.04
60,28.4,7.2,15.57,1000.0,0.0,294.67,100,0,37.95
61,30.0,8.3,17.09,1001.0,0.0,302.37,100,0,38.59
62,27.1,10.5,17.99,996.0,0.0,290.08,100,0,45.77
63,31.9,7.8,18.33,1028.0,0.0,332.13,100,0,23.4
64,25.2,11.8,17.83,994.0,0.0,268.69,100,0,62.0
65,24.1,11.9,17.83,994.0,0.0,284.51,100,0,57.39
66,26.0,12.6,18.95,1016.0,0.0,318.23,100,0,46.26
67,28.5,13.9,21.35,993.0,0.0,333.76,100,0,31.77
68,26.6,13.3,19.98,1017.0,0.0,337.23,100,0,24.52
69,31.2,13.4,23.16,1025.0,0.0,338.98,100,0,9.23
70,32.6,15.4,23.37,997.0,0.0,332.26,100,0,19.26
71,30.0,15.1,21.47,999.0,0.0,328.37,100,0,37.6
72,29.7,14.6,21.65,973.0,0.0,312.28,100,0,34.27
73,30.7,16.2,23.09,986.0,0.0,316.63,100,0,44.6
74,30.0,16.4,22.62,961.0,0.0,280.77,100,0,64.4
75,31.9,18.1,24.14,960.0,0.0,299.01,100,0,46.55
76,33.8,19.0,26.13,939.0,0.0,302.84,100,0,30.84
77,31.4,17.8,24.29,951.0,0.0,290.22,100,0,19.74
78,31.1,17.4,23.44,913.0,0.0,284.33,100,0,21.42
79,38.1,18.1,27.82,911.0,0.0,268.52,100,0,20.95
80,39.1,21.1,27.24,870.0,0.0,187.2,100,0,52.41
81,26.6,15.9,21.51,849.0,0.0,216.8,100,0,49.46
82,31.0,13.6,22.36,868.0,0.0,249.36,100,0,21.72
83,33.6,16.5,23.36,819.0,0.0,225.96,100,0,32.58
84,27.5,16.2,21.85,720.0,0.0,185.72,100,0,50.13
85,25.2,16.0,20.14,709.0,0.0,142.97,100,0,76.74
86,31.7,12.2,20.03,709.0,0.0,165.98,100,0,32.82
87,25.1,6.8,16.11,712.0,0.0,188.32,100,0,19.6
88,27.1,4.3,14.56,689.0,0.0,163.75,100,0,45.97
89,20.6,2.6,12.09,663.0,0.0,125.68,100,0,52.01
90,24.0,2.6,12.64,663.0,0.0,167.72,100,0,19.98
91,24.8,3.1,13.4,631.0,0.0,159.55,100,0,25.82
92,21.0,5.8,12.41,541.0,0.0,90.96,100,0,75.18
93,16.5,0.8,10.11,585.0,0.0,110.26,100,0,47.89
94,19.0,0.4,9.49,577.0,0.0,125.57,100,0,51.83
95,27.1,0.3,12.18,585.0,0.0,141.69,100,0,22.9
96,27.2,7.2,13.84,559.0,0.0,80.22,100,0,89.66
97,18.2,3.7,11.83,573.0,0.0,92.39,100,0,79.77
98,21.2,7.4,12.36,558.0,0.0,84.86,100,0,89.86
99,15.6,0.9,8.76,632.0,0.0,136.02,100,0,37.79
100,19.8,-0.4,9.71,663.0,0.0,152.26,100,0,19.71
101,19.5,-0.4,10.22,688.0,0.0,152.93,100,0,46.2
102,23.8,3.0,11.73,734.0,0.0,185.3,100,0,35.17
103,18.1,-2.0,8.99,760.0,0.0,173.39,100,0,60.0
104,20.2,2.3,8.66,738.0,0.0,135.51,100,0,62.14
105,14.4,0.5,7.99,813.0,0.0,159.46,100,0,56.54
106,17.6,4.6,11.48,814.0,0.0,160.23,100,0,74.01
107,22.5,5.1,12.81,884.0,0.0,154.79,100,0,81.7
108,16.0,4.8,10.96,904.0,0.0,189.93,100,0,50.8
109,19.6,2.0,10.28,941.0,0.0,229.07,100,0,48.21
110,21.0,1.9,11.41,964.0,0.0,276.4,100,0,44.95
111,21.1,6.9,13.61,954.0,0.0,221.6,100,0,77.74
112,28.4,6.3,15.84,979.0,0.0,280.32,100,0,41.54
113,22.4,10.8,16.3,982.0,0.0,292.68,100,0,60.31
114,18.5,8.6,13.1,945.0,0.0,211.8,100,0,70.18
115,23.3,9.6,16.04,973.0,0.0,279.54,100,0,61.7
116,22.5,12.4,17.36,957.0,0.0,271.32,100,0,68.76
117,21.5,13.0,16.71,869.0,0.0,231.73,100,4,90.24
118,21.2,12.5,16.03,920.0,0.0,196.7,100,0,79.44
119,20.6,12.6,16.59,877.0,0.0,210.23,100,18,89.36
120,23.8,13.9,17.8,1003.0,0.0,258.78,100,0,72.16
121,24.6,12.1,17.71,1018.0,0.0,325.45,100,0,37.39
122,28.6,12.4,19.56,1010.0,0.0,336.02,100,0,31.17
123,27.8,12.5,19.45,1023.0,0.0,334.91,100,0,40.81
124,32.7,13.9,23.63,985.0,0.0,327.08,100,0,32.01
125,31.4,16.4,24.04,964.0,0.0,301.48,100,0,37.14
126,34.3,17.6,25.2,965.0,0.0,306.21,100,0,31.56
127,31.1,16.1,24.02,1003.0,0.0,303.52,100,0,31.02
128,31.5,16.5,23.21,953.0,0.0,271.7,100,0,41.56
129,32.5,16.6,23.34,948.0,0.0,243.36,100,0,49.07
130,31.7,15.9,21.49,944.0,0.0,278.04,100,0,28.39
131,36.5,17.7,24.89,922.0,0.0,242.29,100,0,38.02
132,32.8,15.4,22.65,910.0,0.0,246.32,100,0,45.36
133,32.8,15.4,22.24,882.0,0.0,213.06,100,0,61.12
134,25.4,13.7,19.1,846.0,0.0,187.0,100,0,54.95
135,28.6,12.9,19.36,848.0,0.0,205.02,100,0,55.56
136,33.0,10.0,21.07,798.0,0.0,227.48,41,0,1.74
137,28.5,11.1,19.74,753.0,0.0,193.02,100,0,47.93
138,31.5,11.3,21.02,729.0,0.0,191.44,100,0,16.76
139,26.4,8.3,17.26,721.0,0.0,159.79,100,0,42.36
140,30.0,6.3,18.27,724.0,0.0,189.1,100,0,11.57
141,28.4,3.8,16.56,681.0,0.0,168.61,100,0,21.91
142,27.3,7.1,16.91,653.0,0.0,130.02,100,0,53.76
143,27.9,7.3,16.07,636.0,0.0,145.18,100,0,47.85
144,22.5,3.0,12.41,601.0,0.0,131.13,100,0,45.67
145,26.5,5.0,14.96,590.0,0.0,139.69,100,0,26.46
146,26.4,4.0,14.52,582.0,0.0,139.76,100,0,51.3
147,22.0,8.4,14.79,553.0,0.0,101.56,100,0,71.68
148,17.6,4.2,11.7,566.0,0.0,106.48,100,0,73.64
149,17.5,0.6,9.88,592.0,0.0,129.93,100,0,36.21
150,16.6,-1.5,8.48,604.0,0.0,141.99,100,0,23.67
151,19.2,2.1,11.95,605.0,0.0,116.61,100,0,71.71
152,24.8,5.6,13.59,625.0,0.0,119.1,100,0,76.87
153,22.8,4.2,11.95,669.0,0.0,133.55,100,0,54.82
154,16.5,1.3,9.89,717.0,0.0,122.88,100,0,60.49
155,18.8,1.2,10.84,723.0,0.0,183.27,100,0,44.6
156,22.6,5.6,13.2,751.0,0.0,135.3,100,0,87.76
157,18.0,6.0,12.75,717.0,0.0,127.48,100,0,70.06
158,20.4,3.7,12.03,834.0,0.0,210.35,100,0,55.6
159,17.6,4.8,12.18,838.0,0.0,185.42,100,0,59.69
160,21.1,4.7,13.1,886.0,0.0,220.36,100,0,45.86
161,18.5,4.9,11.69,895.0,0.0,204.23,100,0,62.71
162,21.7,2.5,11.34,941.0,0.0,254.01,100,0,39.14
163,24.3,3.5,13.41,968.0,0.0,257.08,100,0,30.18
164,23.0,6.1,15.24,974.0,0.0,275.65,100,0,41.79
165,21.6,8.4,15.19,981.0,0.0,231.57,100,0,65.0
166,22.4,9.8,16.21,988.0,0.0,291.51,100,0,42.38
167,23.9,7.1,16.25,1000.0,0.0,314.2,100,0,34.73
168,22.5,10.8,16.94,1017.0,0.0,286.38,100,0,61.57
169,21.9,10.9,16.51,1000.0,0.0,279.58,100,0,53.17
170,24.6,11.1,17.57,1007.0,0.0,309.82,100,0,53.96
171,25.7,12.8,19.14,996.0,0.0,313.6,100,0,51.54
172,29.9,12.4,19.69,1010.0,0.0,329.33,100,0,31.18
173,32.8,12.3,20.97,1003.0,0.0,333.86,100,0,25.33
174,30.5,13.2,22.56,1009.0,0.0,328.52,100,0,18.04
175,31.6,14.3,22.82,1012.0,0.0,331.62,100,0,27.37
176,31.0,15.6,22.96,980.0,0.0,322.04,100,0,30.09
