week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,2.882,1.242,2.1372,2020-12-31
2,2.888,1.332,2.1016,2021-01-07
3,2.793,1.334,2.06,2021-01-14
4,3.18,1.353,2.1672,2021-01-21
5,2.814,1.206,2.1015,2021-01-28
6,2.879,1.083,1.9945,2021-02-04
7,2.735,1.128,2.0118,2021-02-11
8,2.78,0.981,1.9289,2021-02-18
9,2.906,0.851,1.9553,2021-02-25
10,2.8,1.102,1.9198,2021-03-04
11,2.931,0.979,1.9792,2021-03-11
12,2.617,1.015,1.8346,2021-03-18
13,2.822,0.865,1.8491,2021-03-25
14,2.677,0.882,1.8334,2021-04-01
15,2.654,0.882,1.8274,2021-04-08
16,2.785,0.839,1.7773,2021-04-15
17,2.629,0.728,1.8565,2021-04-22
18,3.042,1.097,1.8846,2021-04-29
19,2.714,0.842,1.8055,2021-05-06
20,2.632,1.155,1.8553,2021-05-13
21,2.858,0.697,1.7894,2021-05-20
22,2.689,0.867,1.8288,2021-05-27
23,2.651,0.886,1.8739,2021-06-03
24,3.764,0.998,2.0296,2021-06-10
25,3.011,1.338,2.1663,2021-06-17
26,2.967,1.257,2.1065,2021-06-24
27,2.965,1.379,2.1489,2021-07-01
28,3.267,1.677,2.3997,2021-07-08
29,3.614,1.851,2.5909,2021-07-15
30,3.48,1.878,2.4915,2021-07-22
31,3.756,1.644,2.4922,2021-07-29
32,3.866,1.286,2.4173,2021-08-05
33,3.804,1.733,2.7391,2021-08-12
34,3.67,1.575,2.3598,2021-08-19
35,3.897,1.804,2.5393,2021-08-26
36,3.705,1.651,2.516,2021-09-02
37,3.975,1.774,2.6316,2021-09-09
38,3.997,1.153,2.3309,2021-09-16
39,3.456,1.605,2.3092,2021-09-23
40,3.239,1.56,2.3213,2021-09-30
41,2.926,1.18,2.0721,2021-10-07
42,2.913,1.213,2.0359,2021-10-14
43,2.697,1.12,2.0202,2021-10-21
44,2.929,1.261,2.0793,2021-10-28
45,2.844,1.059,2.0232,2021-11-04
46,3.229,1.415,2.1182,2021-11-11
47,2.832,1.25,2.0695,2021-11-18
48,3.004,1.295,2.0133,2021-11-25
49,3.722,1.336,2.2185,2021-12-02
50,3.148,1.152,2.304,2021-12-09
51,3.18,1.171,2.2401,2021-12-16
52,3.082,1.334,2.2593,2021-12-23
53,3.127,1.099,2.1459,2021-12-30
54,2.937,1.349,2.1384,2022-01-06
55,2.943,1.477,2.1392,2022-01-13
56,2.87,1.156,2.0628,2022-01-20
57,2.818,1.139,2.1453,2022-01-27
58,2.722,1.13,2.0352,2022-02-03
59,2.931,1.328,2.0485,2022-02-10
60,2.908,1.077,2.0299,2022-02-17
61,2.769,1.042,1.9505,2022-02-24
62,2.841,1.126,1.9499,2022-03-03
63,2.734,0.996,1.8874,2022-03-10
64,3.004,0.975,1.9036,2022-03-17
65,2.917,0.724,1.8663,2022-03-24
66,2.796,1.095,1.9537,2022-03-31
67,3.483,1.017,1.9885,2022-04-07
68,2.645,0.749,1.7779,2022-04-14
69,2.825,0.709,1.7702,2022-04-21
70,2.629,0.854,1.7646,2022-04-28
71,2.775,0.976,1.8006,2022-05-05
72,2.917,1.023,1.8772,2022-05-12
73,2.614,0.861,1.9258,2022-05-19
74,2.613,0.699,1.8166,2022-05-26
75,2.824,0.846,1.946,2022-06-02
76,2.893,1.13,2.0518,2022-06-09
77,3.164,0.798,2.0479,2022-06-16
78,3.506,1.301,2.4245,2022-06-23
79,3.269,1.094,2.198,2022-06-30
80,3.046,1.234,2.2064,2022-07-07
81,3.45,1.615,2.3975,2022-07-14
82,3.36,1.49,2.3822,2022-07-21
83,3.757,1.884,2.5932,2022-07-28
84,4.052,1.771,2.7962,2022-08-04
85,3.987,2.068,2.9471,2022-08-11
86,3.623,1.735,2.6625,2022-08-18
87,4.438,1.745,2.7766,2022-08-25
88,4.632,2.447,3.4942,2022-09-01
89,4.442,1.961,3.0673,2022-09-08
90,3.434,1.228,2.287,2022-09-15
91,4.072,1.732,2.6883,2022-09-22
92,3.348,1.367,2.4076,2022-09-29
93,3.26,1.62,2.4333,2022-10-06
94,3.757,1.673,2.3734,2022-10-13
95,3.256,1.151,2.1986,2022-10-20
96,2.878,1.223,2.0967,2022-10-27
97,3.066,1.13,2.1075,2022-11-03
98,2.854,1.174,2.0894,2022-11-10
99,3.014,1.325,2.1055,2022-11-17
100,3.034,1.144,2.0524,2022-11-24
101,3.051,1.26,2.2023,2022-12-01
102,3.205,1.185,2.3202,2022-12-08
103,3.088,1.456,2.3289,2022-12-15
104,2.944,1.247,2.1584,2022-12-22
105,3.03,1.72,2.2656,2022-12-29
106,3.051,1.133,2.2338,2023-01-05
107,2.966,1.494,2.2878,2023-01-12
108,2.946,1.143,2.1997,2023-01-19
109,2.971,1.397,2.2025,2023-01-26
110,2.816,1.078,2.0894,2023-02-02
111,2.926,0.919,2.0726,2023-02-09
112,2.932,1.034,2.0848,2023-02-16
113,3.027,1.055,2.2295,2023-02-23
114,2.904,1.018,2.0494,2023-03-02
115,2.861,1.148,2.0989,2023-03-09
116,2.767,0.823,2.0324,2023-03-16
117,2.732,0.866,1.9314,2023-03-23
118,2.669,0.58,1.8554,2023-03-30
119,2.702,0.556,1.805,2023-04-06
120,2.619,0.727,1.9052,2023-04-13
121,2.73,0.674,1.821,2023-04-20
122,2.577,0.655,1.8149,2023-04-27
123,2.599,0.492,1.7538,2023-05-04
124,2.671,0.743,1.8714,2023-05-11
125,2.614,0.63,1.9712,2023-05-18
126,3.132,0.815,1.8573,2023-05-25
127,3.042,0.395,1.8679,2023-06-01
128,2.803,1.011,1.948,2023-06-08
129,2.792,1.04,1.9391,2023-06-15
130,2.702,0.601,1.8077,2023-06-22
131,2.771,0.923,1.9454,2023-06-29
132,3.496,0.752,2.0491,2023-07-06
133,3.582,1.44,2.5007,2023-07-13
134,3.801,1.655,2.5625,2023-07-20
135,3.718,1.803,2.68,2023-07-27
136,3.569,1.339,2.4637,2023-08-03
137,3.652,1.368,2.518,2023-08-10
138,3.487,1.622,2.4902,2023-08-17
139,4.365,1.322,2.6002,2023-08-24
140,3.465,1.096,2.4414,2023-08-31
141,3.93,1.487,2.7072,2023-09-07
142,3.081,1.335,2.2886,2023-09-14
143,3.097,0.942,2.1866,2023-09-21
144,3.148,1.102,2.0966,2023-09-28
145,3.531,1.383,2.3334,2023-10-05
146,3.292,0.903,2.1382,2023-10-12
147,3.236,0.85,2.22,2023-10-19
148,2.888,0.895,2.0565,2023-10-26
149,2.966,1.167,2.0741,2023-11-02
150,3.005,0.977,2.092,2023-11-09
151,3.001,1.463,2.1212,2023-11-16
152,2.886,1.007,2.0361,2023-11-23
153,2.922,1.077,2.1793,2023-11-30
154,3.074,1.291,2.1982,2023-12-07
155,3.023,1.547,2.2348,2023-12-14
156,2.847,1.516,2.1503,2023-12-21
157,2.973,1.435,2.1457,2023-12-28
158,3.001,1.195,2.2431,2024-01-04
159,2.928,1.382,2.1997,2024-01-11
160,2.997,1.501,2.2421,2024-01-18
161,2.827,1.152,2.0296,2024-01-25
162,2.981,1.106,2.2787,2024-02-01
163,2.884,1.024,2.0885,2024-02-08
164,2.906,0.909,2.0883,2024-02-15
165,2.697,1.109,2.0388,2024-02-22
166,2.85,1.249,2.0513,2024-02-29
167,2.719,0.797,1.9514,2024-03-07
168,2.63,0.729,1.9091,2024-03-14
169,2.72,0.995,1.9068,2024-03-21
170,2.573,0.973,1.9309,2024-03-28
171,2.909,0.765,1.8439,2024-04-04
172,2.563,0.802,1.8497,2024-04-11
173,2.592,0.747,1.8707,2024-04-18
174,2.641,0.798,1.8464,2024-04-25
175,2.612,0.683,1.8263,2024-05-02
176,2.784,0.734,1.8459,2024-05-09
177,2.591,0.532,1.8203,2024-05-16
178,2.609,0.571,1.7964,2024-05-23
179,2.598,0.697,1.8536,2024-05-30
180,2.7,0.821,1.9185,2024-06-06
181,2.828,0.626,1.8744,2024-06-13
182,3.411,1.129,2.2897,2024-06-20
183,3.185,1.053,2.1867,2024-06-27
184,3.39,1.373,2.334,2024-07-04
185,3.287,1.418,2.3511,2024-07-11
186,3.648,1.695,2.568,2024-07-18
187,4.036,1.32,2.4988,2024-07-25
188,3.884,1.732,2.6938,2024-08-01
189,4.294,1.532,2.6612,2024-08-08
190,4.139,1.469,2.6635,2024-08-15
191,3.606,1.305,2.4617,2024-08-22
192,4.222,1.395,2.4975,2024-08-29
193,4.943,1.946,3.3278,2024-09-05
194,2.981,1.389,2.2527,2024-09-12
195,3.182,1.179,2.1926,2024-09-19
196,3.211,0.909,2.1538,2024-09-26
197,3.346,1.339,2.3223,2024-10-03
198,3.076,1.147,2.2295,2024-10-10
199,3.181,1.15,2.1662,2024-10-17
200,2.95,1.34,2.1923,2024-10-24
201,2.904,1.279,2.106,2024-10-31
202,2.849,1.086,2.0475,2024-11-08
203,2.935,1.32,2.1514,2024-11-15
204,2.878,1.317,2.1435,2024-11-22
205,2.999,1.164,2.1604,2024-11-29
206,2.925,1.326,2.2224,2024-12-06
207,3.002,1.469,2.2806,2024-12-13
208,2.947,1.368,2.2367,2024-12-20
209,2.974,1.447,2.2372,2024-12-27
210,3.207,1.424,2.2522,2025-01-03
211,2.911,1.085,2.1998,2025-01-10
