week_number,weekly_max_temperature,weekly_min_temperature,weekly_avg_temperature,weekly_max_irradiance,weekly_min_irradiance,weekly_avg_irradiance,weekly_max_cloud_cover,weekly_min_cloud_cover,weekly_avg_cloud_cover
1,23.1,7.5,14.79,835.0,0.0,231.36,100,0,7.18
2,23.8,7.1,13.41,837.0,0.0,209.51,100,0,30.92
3,15.3,5.9,11.6,821.0,0.0,189.76,100,0,57.29
4,18.1,5.3,12.15,873.0,0.0,223.13,100,0,37.1
5,26.7,7.7,13.95,937.0,0.0,246.73,100,0,26.18
6,28.9,9.2,17.44,963.0,0.0,277.64,100,0,32.05
7,22.0,11.8,16.26,956.0,0.0,277.95,100,0,54.35
8,27.9,11.5,15.79,995.0,0.0,253.76,100,0,58.77
9,25.0,12.1,15.62,1000.0,0.0,220.51,100,0,70.17
10,26.1,9.9,16.52,1004.0,0.0,270.89,100,0,41.99
11,22.3,13.1,17.01,992.0,0.0,297.2,100,0,40.01
12,20.4,12.6,16.54,985.0,0.0,249.87,100,0,61.6
13,21.1,11.0,16.73,1011.0,0.0,278.64,100,0,48.8
14,25.2,12.3,17.6,1021.0,0.0,315.17,100,0,43.48
15,21.9,13.7,17.94,998.0,0.0,314.92,100,0,37.98
16,24.4,13.2,18.22,1027.0,0.0,309.55,100,0,41.94
17,28.7,16.3,20.71,1000.0,0.0,322.6,100,0,34.89
18,24.0,16.1,19.89,1000.0,0.0,296.92,100,0,41.04
19,23.8,17.0,20.37,965.0,0.0,295.08,100,0,45.45
20,25.8,17.1,21.18,997.0,0.0,317.89,100,0,16.94
21,25.7,18.2,21.97,953.0,0.0,311.29,100,0,22.04
22,26.9,18.8,22.37,959.0,0.0,282.78,100,0,55.42
23,26.2,16.8,21.81,976.0,0.0,289.89,100,0,39.03
24,26.6,17.0,21.13,979.0,0.0,312.89,100,0,16.85
25,27.9,17.8,23.05,940.0,0.0,285.67,100,0,19.28
26,27.3,18.5,21.75,908.0,0.0,188.84,100,0,61.04
27,28.6,16.6,22.44,931.0,0.0,277.33,100,0,24.33
28,27.8,18.3,22.05,910.0,0.0,245.08,100,0,47.19
29,29.0,19.1,23.34,878.0,0.0,256.68,100,0,21.88
30,25.7,16.0,20.11,888.0,0.0,248.32,100,0,33.92
31,27.9,15.7,21.34,864.0,0.0,223.07,100,0,35.39
32,30.5,14.3,20.92,850.0,0.0,210.36,100,0,47.39
33,27.8,12.5,19.24,787.0,0.0,146.52,100,0,66.07
34,29.7,9.5,17.64,750.0,0.0,192.35,100,0,8.66
35,21.1,8.9,15.92,691.0,0.0,156.29,100,0,44.9
36,27.5,10.9,17.82,663.0,0.0,155.18,100,0,35.82
37,21.9,11.9,16.79,640.0,0.0,153.82,100,0,45.14
38,32.0,11.6,19.42,643.0,0.0,164.75,100,0,20.36
39,28.8,10.8,16.27,644.0,0.0,144.71,100,0,65.8
40,27.2,9.1,17.64,624.0,0.0,149.93,100,0,21.14
41,22.5,10.0,15.22,597.0,0.0,135.26,100,0,33.1
42,18.9,6.4,13.54,578.0,0.0,108.08,100,0,46.39
43,17.2,5.1,11.51,590.0,0.0,108.06,100,0,40.84
44,17.4,3.6,12.72,575.0,0.0,95.57,100,0,84.69
45,16.7,6.1,11.7,586.0,0.0,92.61,100,0,57.89
46,18.5,5.1,11.8,592.0,0.0,143.09,100,0,32.01
47,22.4,10.1,15.98,602.0,0.0,110.11,100,0,85.7
48,21.1,8.0,14.16,629.0,0.0,146.28,100,0,26.22
49,21.8,6.0,13.21,671.0,0.0,158.74,100,0,33.75
50,21.1,5.2,12.73,709.0,0.0,168.79,100,0,24.74
51,29.5,9.7,18.54,754.0,0.0,199.86,100,0,5.27
52,22.2,6.5,13.53,770.0,0.0,191.89,100,0,30.32
53,20.8,3.8,11.46,808.0,0.0,187.68,100,0,46.46
54,24.6,7.3,14.46,828.0,0.0,209.3,100,0,37.85
55,21.9,5.2,13.24,868.0,0.0,237.57,100,0,14.53
56,23.6,9.7,15.69,879.0,0.0,246.07,100,0,38.12
57,28.0,10.6,16.91,893.0,0.0,263.48,100,0,42.43
58,18.2,10.4,14.67,884.0,0.0,171.3,100,0,71.45
59,33.1,11.7,19.0,959.0,0.0,281.52,100,0,31.46
60,19.6,8.1,15.35,982.0,0.0,285.15,100,0,32.65
61,27.4,10.9,16.16,993.0,0.0,299.92,100,0,28.95
62,26.4,12.1,16.77,999.0,0.0,291.83,100,0,45.32
63,21.8,11.9,17.0,993.0,0.0,281.1,100,0,45.55
64,27.4,10.7,17.5,1018.0,0.0,330.73,100,0,23.2
65,21.7,13.8,17.16,981.0,0.0,258.28,100,0,60.94
66,20.6,13.4,17.34,987.0,0.0,281.07,100,0,57.68
67,23.1,14.1,18.29,1006.0,0.0,306.22,100,0,43.4
68,23.7,15.3,19.76,985.0,0.0,322.14,100,0,26.85
69,23.9,13.4,19.13,1010.0,0.0,324.12,100,0,24.0
70,27.5,15.1,21.53,1020.0,0.0,336.92,100,0,11.48
71,27.3,16.5,21.63,991.0,0.0,327.04,100,0,20.74
72,25.5,17.1,20.97,993.0,0.0,308.85,100,0,36.08
73,24.8,17.2,20.72,961.0,0.0,304.13,100,0,36.15
74,25.9,17.9,21.59,953.0,0.0,309.43,100,0,40.14
75,24.7,18.2,21.51,951.0,0.0,277.36,100,0,58.64
76,27.3,18.6,23.01,949.0,0.0,295.77,100,0,41.79
77,29.6,19.6,24.04,934.0,0.0,299.79,100,0,29.52
