week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,3.479,1.47,2.5925,2020-12-31
2,3.511,1.596,2.5443,2021-01-07
3,3.42,1.563,2.5024,2021-01-14
4,3.895,1.761,2.6277,2021-01-21
5,3.484,1.378,2.5422,2021-01-28
6,3.426,1.306,2.4052,2021-02-04
7,3.387,1.365,2.4289,2021-02-11
8,3.423,1.214,2.3216,2021-02-18
9,3.569,1.015,2.372,2021-02-25
10,3.376,1.349,2.3145,2021-03-04
11,3.529,1.267,2.4009,2021-03-11
12,3.29,1.293,2.2259,2021-03-18
13,3.306,1.036,2.2381,2021-03-25
14,3.275,1.081,2.2189,2021-04-01
15,3.169,1.1,2.2158,2021-04-08
16,3.335,1.008,2.1522,2021-04-15
17,3.197,0.892,2.2335,2021-04-22
18,3.654,1.399,2.2683,2021-04-29
19,3.053,1.074,2.1907,2021-05-06
20,3.163,1.385,2.2537,2021-05-13
21,3.492,0.883,2.1624,2021-05-20
22,3.247,1.061,2.2122,2021-05-27
23,3.33,1.049,2.2884,2021-06-03
24,4.524,1.208,2.4513,2021-06-10
25,3.623,1.643,2.6189,2021-06-17
26,3.539,1.611,2.5489,2021-06-24
27,3.627,1.647,2.5864,2021-07-01
28,3.929,1.98,2.8996,2021-07-08
29,4.333,2.168,3.1337,2021-07-15
30,4.046,2.238,3.008,2021-07-22
31,4.332,1.836,3.0303,2021-07-29
32,4.586,1.534,2.9341,2021-08-05
33,4.657,2.233,3.3144,2021-08-12
34,4.237,1.88,2.8676,2021-08-19
35,4.67,2.076,3.0763,2021-08-26
36,4.467,2.124,3.0364,2021-09-02
37,4.613,1.952,3.1965,2021-09-09
38,4.779,1.397,2.8259,2021-09-16
39,4.207,1.926,2.7913,2021-09-23
40,4.156,1.97,2.8304,2021-09-30
41,3.397,1.369,2.4889,2021-10-07
42,3.473,1.518,2.473,2021-10-14
43,3.361,1.46,2.4468,2021-10-21
44,3.553,1.558,2.5021,2021-10-28
45,3.547,1.272,2.447,2021-11-04
46,3.875,1.644,2.567,2021-11-11
47,3.412,1.583,2.499,2021-11-18
48,3.444,1.61,2.4478,2021-11-25
49,4.419,1.673,2.6859,2021-12-02
50,3.874,1.406,2.7893,2021-12-09
51,3.663,1.341,2.707,2021-12-16
52,3.736,1.63,2.738,2021-12-23
53,3.622,1.4,2.6046,2021-12-30
54,3.638,1.585,2.5963,2022-01-06
55,3.473,1.767,2.5698,2022-01-13
56,3.382,1.368,2.493,2022-01-20
57,3.605,1.383,2.5945,2022-01-27
58,3.502,1.298,2.4681,2022-02-03
59,3.547,1.612,2.4836,2022-02-10
60,3.46,1.278,2.458,2022-02-17
61,3.505,1.258,2.3696,2022-02-24
62,3.297,1.324,2.3539,2022-03-03
63,3.239,1.279,2.2662,2022-03-10
64,3.843,1.148,2.3097,2022-03-17
65,3.508,0.82,2.2713,2022-03-24
66,3.606,1.318,2.3619,2022-03-31
67,4.059,1.224,2.4168,2022-04-07
68,3.292,0.915,2.1485,2022-04-14
69,3.524,0.857,2.1402,2022-04-21
70,3.214,1.064,2.143,2022-04-28
71,3.29,1.155,2.1773,2022-05-05
72,3.618,1.176,2.2797,2022-05-12
73,3.207,1.084,2.3296,2022-05-19
74,3.193,0.835,2.2081,2022-05-26
75,3.482,1.023,2.3605,2022-06-02
76,3.674,1.415,2.488,2022-06-09
77,3.913,1.014,2.472,2022-06-16
78,4.206,1.579,2.9382,2022-06-23
79,4.007,1.345,2.6645,2022-06-30
80,3.744,1.572,2.684,2022-07-07
