week_number,weekly_max_temperature,weekly_min_temperature,weekly_avg_temperature,weekly_max_irradiance,weekly_min_irradiance,weekly_avg_irradiance,weekly_max_cloud_cover,weekly_min_cloud_cover,weekly_avg_cloud_cover
1,25.6,6.7,13.98,841.0,0.0,212.6,100,0,35.24
2,16.3,4.8,11.25,738.0,0.0,188.77,100,1,59.11
3,20.9,4.6,12.2,884.0,0.0,221.92,100,0,36.18
4,31.0,7.6,14.55,946.0,0.0,242.02,100,0,28.32
5,31.8,10.4,18.93,962.0,0.0,282.65,100,0,22.92
6,26.3,10.7,17.01,964.0,0.0,277.35,100,0,61.26
7,31.1,10.4,16.14,1000.0,0.0,265.26,100,0,59.1
8,28.5,11.1,16.06,1004.0,0.0,229.4,100,0,62.71
9,30.5,9.2,17.58,1009.0,0.0,272.84,100,0,43.44
10,24.2,12.4,17.54,1004.0,0.0,306.83,100,0,39.6
11,22.5,11.7,16.99,986.0,0.0,264.17,100,0,55.42
12,23.5,9.1,17.04,1019.0,0.0,276.08,100,0,52.95
13,28.0,11.1,18.2,1027.0,0.0,323.27,100,0,39.88
14,24.9,12.3,18.21,1012.0,0.0,324.39,100,0,36.1
15,26.8,11.8,18.95,1037.0,0.0,317.26,100,0,42.83
16,35.0,14.6,21.8,1006.0,0.0,323.82,100,0,33.26
17,26.0,14.9,20.87,1007.0,0.0,299.39,100,0,40.38
18,27.0,15.6,21.09,980.0,0.0,306.4,100,0,37.83
19,28.3,15.6,21.86,1007.0,0.0,323.27,100,0,19.6
20,28.4,16.9,22.62,958.0,0.0,314.23,100,0,21.35
21,30.1,17.6,22.95,966.0,0.0,281.68,100,0,55.86
22,31.2,15.9,23.34,979.0,0.0,299.93,100,0,35.46
23,32.5,15.8,22.3,987.0,0.0,314.11,100,0,23.58
24,30.9,16.5,24.11,951.0,0.0,287.12,100,0,17.69
25,30.0,18.8,22.32,917.0,0.0,198.46,100,0,70.61
26,34.0,15.5,23.82,934.0,0.0,285.62,100,0,28.2
27,33.2,16.9,23.11,913.0,0.0,257.77,100,0,49.05
28,33.7,18.2,24.77,883.0,0.0,259.14,100,0,21.49
29,29.7,14.2,20.97,907.0,0.0,258.38,100,0,32.96
30,33.8,13.9,22.84,871.0,0.0,227.76,100,0,34.39
31,34.2,13.9,22.43,857.0,0.0,222.68,100,0,45.05
32,29.0,12.1,19.66,793.0,0.0,159.74,100,0,65.62
33,31.4,8.2,18.21,764.0,0.0,198.34,100,0,8.04
34,23.2,9.1,16.41,708.0,0.0,164.21,100,0,46.55
35,31.5,10.8,18.57,676.0,0.0,161.96,100,0,37.17
36,24.5,10.9,17.34,653.0,0.0,160.66,100,0,43.52
37,34.3,9.4,20.45,651.0,0.0,168.77,100,0,15.93
38,29.5,10.4,17.06,653.0,0.0,149.2,100,0,65.24
39,29.4,9.2,18.16,632.0,0.0,148.33,100,0,22.47
40,25.0,9.6,16.12,604.0,0.0,137.67,100,0,35.63
41,19.5,5.1,13.01,587.0,0.0,110.64,100,0,44.54
42,18.9,3.5,11.21,598.0,0.0,110.17,100,0,41.48
43,18.9,4.6,12.94,580.0,0.0,96.38,100,0,87.5
44,16.5,4.3,10.99,591.0,0.0,90.31,100,0,62.47
45,19.6,4.7,12.16,597.0,0.0,143.82,100,0,33.95
46,23.8,8.9,16.86,606.0,0.0,111.18,100,0,89.07
47,22.6,7.2,14.57,633.0,0.0,150.27,100,0,25.35
48,21.9,5.3,13.79,676.0,0.0,164.45,100,0,31.8
49,25.2,4.9,13.13,716.0,0.0,168.96,100,0,25.89
50,31.7,8.6,20.34,759.0,0.0,201.92,100,0,4.42
51,25.5,4.3,13.77,776.0,0.0,190.7,100,0,28.27
52,22.2,1.5,10.97,817.0,0.0,182.94,100,0,52.45
53,27.6,7.3,14.98,830.0,0.0,208.86,100,0,41.07
54,23.8,5.4,13.62,873.0,0.0,238.91,100,0,11.98
55,27.4,9.0,16.69,886.0,0.0,246.54,100,0,40.3
56,31.2,8.9,18.14,909.0,0.0,266.7,100,0,42.21
57,19.5,10.0,14.79,882.0,0.0,166.58,100,0,77.55
58,37.2,11.8,20.41,969.0,0.0,286.37,100,0,27.6
59,22.7,8.1,15.71,980.0,0.0,290.91,100,0,34.73
60,31.0,9.6,16.87,997.0,0.0,303.89,100,0,30.45
61,31.8,10.6,17.61,1011.0,0.0,298.37,100,0,40.12
62,24.1,10.3,17.55,997.0,0.0,288.02,100,0,46.28
63,30.9,8.8,18.64,1030.0,0.0,335.23,100,0,22.65
64,23.6,12.9,17.7,988.0,0.0,276.36,100,0,58.15
65,22.2,12.4,17.7,991.0,0.0,288.1,100,0,56.84
66,24.5,12.8,18.59,1014.0,0.0,314.53,100,0,43.29
67,25.9,13.4,20.21,996.0,0.0,324.47,100,0,30.6
68,26.8,12.2,19.39,1017.0,0.0,332.91,100,0,26.55
69,31.8,14.9,23.04,1023.0,0.0,338.33,100,0,11.77
70,31.1,15.9,22.36,996.0,0.0,327.54,100,0,23.58
71,28.2,15.4,21.54,1000.0,0.0,319.23,100,0,39.04
72,26.6,16.8,21.46,974.0,0.0,311.7,100,0,39.31
73,29.0,16.3,22.24,962.0,0.0,307.64,100,0,41.98
74,27.1,17.3,22.26,955.0,0.0,281.01,100,0,63.52
75,31.0,18.3,23.92,956.0,0.0,296.64,100,0,38.26
76,32.7,19.0,25.06,938.0,0.0,300.7,100,0,26.26
77,29.2,18.2,23.49,940.0,0.0,285.71,100,0,19.15
78,28.2,18.3,23.24,911.0,0.0,271.87,100,0,30.11
79,35.8,19.0,26.89,908.0,0.0,260.56,100,0,24.46
80,38.1,20.0,26.92,883.0,0.0,189.67,100,0,54.55
81,26.3,15.6,21.36,863.0,0.0,207.88,100,0,53.12
82,31.2,15.4,23.14,858.0,0.0,246.7,100,0,21.93
83,31.0,15.3,22.57,810.0,0.0,216.99,100,0,35.3
84,27.3,15.6,21.54,718.0,0.0,176.71,100,0,47.62
85,25.3,16.2,20.46,698.0,0.0,132.79,100,0,72.98
86,35.5,13.3,21.49,694.0,0.0,161.95,100,0,34.04
87,25.6,10.4,17.96,697.0,0.0,184.13,100,0,18.74
88,27.4,7.0,15.77,672.0,0.0,160.33,100,0,44.23
89,19.5,5.8,13.67,664.0,0.0,130.5,100,0,44.83
90,25.0,6.2,14.59,671.0,0.0,167.65,100,0,19.88
91,25.0,7.1,15.66,638.0,0.0,160.67,100,0,25.83
92,21.5,8.2,13.92,561.0,0.0,105.8,100,0,74.96
93,18.2,5.1,12.34,588.0,0.0,119.85,100,0,36.99
94,18.0,2.7,10.39,582.0,0.0,125.5,100,0,49.83
95,27.6,4.6,14.35,591.0,0.0,143.47,100,0,20.52
96,27.3,9.8,14.81,569.0,0.0,84.49,100,0,86.36
97,18.6,5.1,12.81,591.0,0.0,97.02,100,0,77.44
98,19.4,7.2,12.89,566.0,0.0,95.4,100,0,88.82
99,17.5,4.3,10.41,641.0,0.0,135.65,100,0,41.77
100,18.8,2.0,11.11,670.0,0.0,155.34,100,0,20.71
101,19.6,4.3,11.81,692.0,0.0,158.48,100,0,44.21
102,25.1,5.5,13.11,737.0,0.0,186.13,100,0,33.58
103,18.6,1.6,10.65,764.0,0.0,174.22,100,0,57.32
104,19.8,6.0,10.5,748.0,0.0,138.04,100,0,57.05
105,14.4,2.5,9.46,813.0,0.0,174.35,100,0,47.2
106,18.4,5.3,12.09,821.0,0.0,161.08,100,0,76.05
107,23.6,5.9,13.66,883.0,0.0,171.04,100,0,74.46
108,15.8,5.8,11.84,909.0,0.0,197.23,100,0,52.67
109,20.6,4.8,11.65,935.0,0.0,223.89,100,0,41.23
110,20.6,4.9,13.01,966.0,0.0,273.35,100,0,39.33
111,20.6,9.6,14.16,956.0,0.0,216.96,100,0,74.71
112,31.5,9.4,17.71,982.0,0.0,292.15,100,0,36.23
113,23.6,11.2,17.01,988.0,0.0,294.87,100,0,50.84
114,20.6,9.4,14.82,969.0,0.0,245.96,100,0,62.45
