week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,5.037,2.111,3.6036,2020-12-31
2,4.809,2.246,3.5506,2021-01-07
3,5.105,2.309,3.491,2021-01-14
4,5.176,2.365,3.6516,2021-01-21
5,4.815,1.956,3.556,2021-01-28
6,4.889,1.896,3.3587,2021-02-04
7,4.797,1.853,3.3966,2021-02-11
8,4.634,1.654,3.2548,2021-02-18
9,4.768,1.36,3.2994,2021-02-25
10,4.862,1.919,3.2301,2021-03-04
11,4.645,1.73,3.3368,2021-03-11
12,4.61,1.778,3.0934,2021-03-18
13,4.604,1.386,3.1253,2021-03-25
14,4.684,1.464,3.1013,2021-04-01
15,4.44,1.575,3.0788,2021-04-08
16,4.575,1.482,3.0169,2021-04-15
17,4.429,1.271,3.1333,2021-04-22
18,5.025,1.962,3.1838,2021-04-29
19,4.536,1.493,3.0479,2021-05-06
20,4.37,1.86,3.1395,2021-05-13
21,4.993,1.225,3.0203,2021-05-20
22,4.551,1.477,3.0832,2021-05-27
23,4.683,1.511,3.1781,2021-06-03
24,5.989,1.706,3.4402,2021-06-10
25,5.219,2.315,3.6447,2021-06-17
26,4.958,2.19,3.5449,2021-06-24
27,5.187,2.217,3.6031,2021-07-01
28,5.562,2.84,4.0463,2021-07-08
29,6.199,3.125,4.3671,2021-07-15
30,6.169,3.105,4.2069,2021-07-22
31,6.351,2.697,4.2271,2021-07-29
32,6.282,2.284,4.0654,2021-08-05
33,6.791,2.89,4.6146,2021-08-12
34,6.116,2.631,3.9952,2021-08-19
35,6.559,3.085,4.2982,2021-08-26
36,6.353,2.729,4.2585,2021-09-02
37,6.78,2.935,4.4645,2021-09-09
38,6.67,2.024,3.93,2021-09-16
39,5.798,2.814,3.9055,2021-09-23
40,5.744,2.657,3.9338,2021-09-30
41,4.718,1.861,3.4797,2021-10-07
42,4.769,2.084,3.4114,2021-10-14
43,4.597,2.017,3.4005,2021-10-21
44,5.093,2.172,3.4989,2021-10-28
45,4.784,1.699,3.4131,2021-11-04
46,5.376,2.362,3.5685,2021-11-11
47,4.824,2.279,3.4845,2021-11-18
48,5.227,2.163,3.4111,2021-11-25
49,6.573,2.447,3.7485,2021-12-02
50,5.27,2.088,3.8679,2021-12-09
51,5.253,1.924,3.7785,2021-12-16
52,5.324,2.332,3.8198,2021-12-23
53,4.99,1.964,3.6143,2021-12-30
54,4.85,2.171,3.5998,2022-01-06
55,4.896,2.524,3.5876,2022-01-13
56,4.772,1.97,3.4729,2022-01-20
57,4.846,1.937,3.6104,2022-01-27
58,4.758,1.838,3.4346,2022-02-03
59,4.916,2.211,3.4574,2022-02-10
60,4.827,1.808,3.4229,2022-02-17
61,4.686,1.801,3.3206,2022-02-24
62,4.687,1.808,3.2887,2022-03-03
63,4.743,1.731,3.1733,2022-03-10
64,5.232,1.636,3.2045,2022-03-17
65,4.81,1.219,3.1401,2022-03-24
66,4.874,1.882,3.2986,2022-03-31
67,5.653,1.736,3.3531,2022-04-07
68,4.669,1.24,3.016,2022-04-14
69,4.829,1.206,2.9787,2022-04-21
70,4.413,1.452,2.9875,2022-04-28
