week_number,weekly_max_temperature,weekly_min_temperature,weekly_avg_temperature,weekly_max_irradiance,weekly_min_irradiance,weekly_avg_irradiance,weekly_max_cloud_cover,weekly_min_cloud_cover,weekly_avg_cloud_cover
1,25.2,6.2,13.63,837.0,0.0,211.39,100,0,31.08
2,15.1,5.1,11.01,784.0,0.0,176.93,100,2,65.89
3,19.6,2.8,11.72,875.0,0.0,218.26,100,0,45.06
4,29.9,5.6,13.76,936.0,0.0,243.37,100,0,27.37
5,30.9,8.6,18.51,967.0,0.0,278.8,100,0,29.65
6,25.4,11.0,17.21,956.0,0.0,281.4,100,0,54.51
7,30.1,10.7,15.99,996.0,0.0,250.95,100,0,59.49
8,28.5,11.1,15.94,1002.0,0.0,212.05,100,0,70.1
9,31.2,7.9,17.11,1005.0,0.0,267.35,100,0,44.56
10,25.3,12.4,17.89,1002.0,0.0,302.6,100,0,33.2
11,22.6,12.0,17.04,992.0,0.0,251.92,100,0,50.65
12,23.5,9.9,17.15,1013.0,0.0,276.95,100,0,50.51
13,29.1,11.5,18.79,1022.0,0.0,318.39,100,0,35.02
14,24.6,12.9,18.86,1002.0,0.0,318.76,100,0,27.89
15,28.0,11.2,19.05,1027.0,0.0,313.01,100,0,41.05
16,33.8,15.1,22.54,1005.0,0.0,325.29,100,0,33.56
17,27.9,15.1,21.02,1005.0,0.0,297.08,100,0,38.67
18,27.5,16.4,21.71,975.0,0.0,299.89,100,0,37.61
19,29.2,16.6,22.59,1004.0,0.0,320.07,100,0,18.4
20,28.1,18.2,23.19,955.0,0.0,312.85,100,0,20.75
21,29.8,18.6,23.48,967.0,0.0,285.05,100,0,55.96
22,29.9,16.4,22.67,976.0,0.0,289.88,100,0,38.33
23,31.4,17.0,23.19,983.0,0.0,314.97,100,0,12.71
24,31.1,18.0,24.49,950.0,0.0,285.46,100,0,14.82
25,31.0,17.9,22.14,914.0,0.0,189.28,100,0,62.84
26,32.6,15.7,23.48,936.0,0.0,277.3,100,0,24.03
27,32.0,17.0,23.08,912.0,0.0,244.32,100,0,43.29
28,32.3,18.4,24.78,885.0,0.0,258.17,100,0,16.17
29,29.5,15.1,21.39,898.0,0.0,251.6,100,0,32.39
30,32.4,14.7,22.54,866.0,0.0,224.01,100,0,32.37
31,34.4,12.0,22.09,853.0,0.0,210.46,100,0,47.64
32,28.4,10.6,19.39,788.0,0.0,145.11,100,0,67.68
33,31.1,7.4,17.57,766.0,0.0,197.86,100,0,10.05
34,22.1,6.4,15.22,705.0,0.0,156.23,100,0,53.78
35,30.5,9.1,18.18,674.0,0.0,159.85,100,0,37.36
36,24.7,10.7,17.21,651.0,0.0,157.54,100,0,47.7
37,34.8,10.8,20.06,646.0,0.0,166.27,100,0,21.21
38,30.6,9.6,16.69,647.0,0.0,146.4,100,0,64.86
39,28.9,6.8,17.54,627.0,0.0,151.01,100,0,19.68
40,25.5,9.2,15.76,599.0,0.0,137.76,100,0,25.61
41,20.1,4.3,12.76,580.0,0.0,107.49,100,0,49.38
42,19.0,2.3,10.53,590.0,0.0,108.3,100,0,41.82
43,18.0,1.1,12.09,581.0,0.0,92.57,100,0,89.35
44,18.0,4.8,10.96,590.0,0.0,90.48,100,0,63.52
45,20.0,1.5,11.69,595.0,0.0,143.81,100,0,33.7
46,25.0,8.4,16.43,604.0,0.0,111.06,100,0,84.42
47,22.6,6.7,14.14,630.0,0.0,143.6,100,0,29.64
48,22.2,4.7,13.36,673.0,0.0,159.43,100,0,35.98
49,23.9,4.1,12.91,709.0,0.0,168.48,100,0,27.22
50,31.2,9.2,19.99,756.0,0.0,200.58,99,0,5.86
51,26.2,4.7,13.3,771.0,0.0,191.49,100,0,27.28
52,22.7,1.4,10.73,810.0,0.0,184.0,100,0,49.6
53,27.0,5.8,14.42,829.0,0.0,206.26,100,0,41.46
54,23.2,4.2,13.14,870.0,0.0,236.22,100,0,12.57
55,25.5,8.4,16.13,882.0,0.0,245.96,100,0,38.99
56,30.6,8.9,17.95,895.0,0.0,265.57,100,0,41.21
57,19.5,10.2,14.66,891.0,0.0,161.27,100,0,74.07
58,36.1,11.4,20.3,963.0,0.0,282.35,100,0,28.87
59,21.5,7.5,15.44,971.0,0.0,281.87,100,0,36.52
60,30.5,9.3,16.46,997.0,0.0,295.71,100,0,35.46
61,30.5,11.6,17.69,998.0,0.0,295.46,100,0,41.6
62,25.8,10.9,17.9,996.0,0.0,283.96,100,0,42.3
63,30.9,8.6,18.56,1022.0,0.0,332.14,100,0,25.11
64,24.8,13.3,17.81,984.0,0.0,260.33,100,0,54.23
65,22.8,12.9,18.01,995.0,0.0,277.57,100,0,53.9
66,25.5,13.3,19.08,1012.0,0.0,311.04,100,0,41.78
67,27.0,14.2,21.0,990.0,0.0,329.52,100,0,22.08
68,25.8,12.6,19.92,1014.0,0.0,330.7,100,0,22.89
69,31.1,14.1,22.86,1024.0,0.0,338.02,100,0,10.84
70,31.4,16.0,23.23,993.0,0.0,329.42,100,0,17.38
71,28.9,16.6,21.78,996.0,0.0,315.49,100,0,33.47
72,27.6,16.0,21.64,975.0,0.0,305.18,100,0,26.1
73,29.5,17.9,22.98,967.0,0.0,313.16,100,0,38.33
74,27.1,17.6,22.33,960.0,0.0,276.35,100,0,58.55
75,30.8,18.4,24.19,955.0,0.0,297.07,100,0,44.88
76,33.5,19.0,25.74,937.0,0.0,301.52,100,0,26.67
77,30.1,18.6,24.06,941.0,0.0,285.08,100,0,13.91
78,29.5,18.5,23.65,904.0,0.0,279.86,100,0,15.85
79,37.5,18.5,26.99,905.0,0.0,267.08,100,0,18.04
80,37.8,21.2,27.29,875.0,0.0,189.44,100,0,51.95
81,26.8,16.3,21.68,833.0,0.0,209.68,100,0,51.01
82,30.5,13.8,22.24,859.0,0.0,245.58,100,0,25.85
83,32.3,16.8,22.92,808.0,0.0,221.52,100,0,24.57
84,26.9,16.4,21.67,713.0,0.0,178.54,100,0,34.57
85,24.8,16.6,20.42,701.0,0.0,135.38,100,0,65.99
86,33.3,12.2,20.66,693.0,0.0,159.85,100,0,35.0
87,24.7,8.4,17.04,699.0,0.0,183.38,100,0,21.1
88,26.9,6.9,15.62,672.0,0.0,160.13,100,0,45.29
89,19.9,4.9,13.17,660.0,0.0,126.92,100,0,45.39
90,25.7,4.9,14.2,666.0,0.0,167.3,100,0,18.42
91,24.6,4.6,14.88,636.0,0.0,159.79,100,0,24.29
92,21.6,7.8,13.24,538.0,0.0,99.01,100,0,76.75
93,17.5,2.0,11.34,585.0,0.0,114.68,100,0,47.11
94,19.1,2.2,10.19,575.0,0.0,126.95,100,0,51.71
95,28.6,2.5,13.14,584.0,0.0,141.81,100,0,21.41
96,26.6,10.4,14.79,561.0,0.0,88.21,100,0,88.42
97,18.6,4.8,12.54,580.0,0.0,95.26,100,0,77.71
98,20.5,6.9,12.76,554.0,0.0,89.17,100,0,89.29
99,16.5,2.5,9.94,632.0,0.0,136.85,100,0,38.42
100,19.4,2.2,10.91,662.0,0.0,153.12,100,0,21.4
101,19.3,2.3,11.3,689.0,0.0,158.4,100,0,47.87
102,24.8,3.5,12.76,732.0,0.0,185.58,100,0,32.22
103,18.5,1.4,10.31,759.0,0.0,175.16,100,0,56.32
104,19.0,4.3,9.79,730.0,0.0,140.35,100,0,59.37
105,14.8,1.9,9.04,809.0,0.0,171.01,100,0,51.83
106,17.9,5.2,11.82,816.0,0.0,161.33,100,0,78.23
107,23.1,6.4,13.47,878.0,0.0,160.46,100,0,79.57
108,16.1,6.3,11.69,900.0,0.0,196.23,100,0,52.12
109,21.2,2.8,11.22,934.0,0.0,229.93,100,0,45.76
110,20.8,4.7,12.33,964.0,0.0,274.29,100,0,45.41
111,20.4,8.2,13.85,948.0,0.0,209.81,100,0,71.98
112,28.1,8.8,16.34,977.0,0.0,280.29,100,0,38.86
113,21.8,11.1,16.44,976.0,0.0,279.84,100,0,47.92
114,18.9,8.5,13.67,952.0,0.0,218.31,100,0,75.18
115,22.1,10.9,16.21,968.0,0.0,269.38,100,0,54.04
116,23.1,13.1,17.6,951.0,0.0,262.64,100,0,59.14
117,20.7,13.4,17.04,869.0,0.0,202.57,100,12,89.09
118,20.5,12.8,16.39,898.0,0.0,183.0,100,0,81.15
119,21.2,13.1,17.16,864.0,0.0,188.77,100,10,90.11
120,23.5,14.7,18.24,1002.0,0.0,245.11,100,0,71.32
121,25.0,11.8,18.38,1011.0,0.0,310.96,100,0,39.04
122,27.5,13.5,19.77,1004.0,0.0,326.06,100,0,26.64
123,26.2,13.8,19.96,1022.0,0.0,327.77,100,0,32.96
124,31.9,15.0,23.15,980.0,0.0,322.33,100,0,28.53
125,30.2,17.5,23.56,955.0,0.0,295.29,100,0,33.57
126,32.8,18.0,24.6,954.0,0.0,301.13,100,0,24.14
127,30.2,16.8,23.84,994.0,0.0,300.49,100,0,25.96
128,30.0,17.2,23.22,945.0,0.0,265.9,100,0,40.61
129,31.2,17.0,22.81,943.0,0.0,240.98,100,0,45.82
130,30.1,15.3,21.14,938.0,0.0,273.92,100,0,25.86
131,35.1,18.1,24.49,920.0,0.0,238.29,100,0,37.93
132,32.8,15.5,22.97,900.0,0.0,238.9,100,0,39.12
133,33.2,17.0,22.16,875.0,0.0,207.67,100,0,49.07
134,25.0,13.6,19.52,840.0,0.0,182.88,100,0,59.75
135,27.9,13.5,19.64,839.0,0.0,193.18,100,0,52.14
136,32.2,11.2,21.49,782.0,0.0,222.3,51,0,1.51
137,29.1,12.4,20.41,737.0,0.0,184.94,100,0,47.08
138,30.8,13.4,21.54,705.0,0.0,186.56,100,0,17.38
139,27.9,10.2,17.95,707.0,0.0,155.39,100,0,34.23
140,29.9,8.9,19.69,713.0,0.0,186.46,100,0,12.04
141,28.8,5.3,17.84,678.0,0.0,168.18,100,0,19.83
142,27.4,9.6,17.58,649.0,0.0,130.85,100,0,54.73
143,27.0,8.5,16.47,634.0,0.0,145.94,100,0,46.01
144,21.1,4.8,13.18,601.0,0.0,134.41,100,0,45.01
145,24.9,5.4,15.1,591.0,0.0,138.8,100,0,26.74
146,25.5,4.8,14.71,586.0,0.0,141.17,100,0,48.49
147,22.1,10.1,15.46,550.0,0.0,103.98,100,0,71.08
148,18.1,5.8,12.41,567.0,0.0,107.64,100,0,73.87
149,18.0,2.5,10.95,593.0,0.0,132.58,100,0,34.62
150,17.1,0.8,9.85,607.0,0.0,141.2,100,0,23.16
151,19.0,4.5,12.86,602.0,0.0,116.73,100,0,72.0
152,23.9,7.1,14.59,630.0,0.0,119.4,100,0,74.73
153,23.0,7.2,12.8,656.0,0.0,136.96,100,0,53.54
154,16.9,3.0,10.91,715.0,0.0,130.65,100,0,58.75
155,18.4,2.7,11.67,723.0,0.0,178.49,100,0,45.57
156,21.9,6.9,13.89,761.0,0.0,139.79,100,0,87.53
157,18.0,7.8,13.55,733.0,0.0,139.03,100,0,70.61
158,20.2,6.1,12.82,830.0,0.0,212.32,100,0,56.54
159,17.9,6.2,12.64,834.0,0.0,195.49,100,0,56.4
160,21.7,8.1,14.26,880.0,0.0,226.86,100,0,44.23
161,18.3,6.2,12.23,889.0,0.0,205.43,100,0,62.93
162,21.4,4.6,12.16,939.0,0.0,255.65,100,0,35.85
163,24.0,6.3,14.34,966.0,0.0,261.41,100,0,28.67
164,22.9,8.8,15.8,974.0,0.0,271.32,100,0,40.71
165,21.0,9.8,15.69,975.0,0.0,223.11,100,0,70.15
166,22.0,10.8,16.35,985.0,0.0,288.02,100,0,37.57
167,23.2,8.3,16.36,999.0,0.0,308.12,100,0,19.93
168,22.1,13.3,17.41,1004.0,0.0,274.65,100,0,62.36
169,21.1,12.1,16.77,1004.0,0.0,268.2,100,0,57.96
170,23.0,12.2,17.79,997.0,0.0,300.83,100,0,54.06
171,24.5,13.9,19.24,988.0,0.0,304.21,100,0,50.45
172,28.6,13.6,19.44,1006.0,0.0,317.06,100,0,29.8
173,31.6,12.9,20.69,998.0,0.0,329.74,100,0,20.79
174,30.1,13.6,22.34,1000.0,0.0,324.73,100,0,19.83
175,29.7,15.9,22.5,1005.0,0.0,328.98,100,0,21.0
176,29.2,17.4,22.78,974.0,0.0,312.92,100,0,18.6
177,32.0,18.0,23.16,959.0,0.0,298.8,100,0,29.2
178,31.5,15.6,24.06,978.0,0.0,316.3,99,0,8.95
179,30.9,15.1,22.76,979.0,0.0,305.11,100,0,26.32
180,32.0,17.8,24.26,954.0,0.0,298.65,100,0,27.32
181,32.0,15.9,23.87,963.0,0.0,299.16,100,0,20.0
182,33.8,15.1,23.19,947.0,0.0,297.93,100,0,14.73
183,29.0,16.8,22.3,939.0,0.0,272.23,100,0,19.48
184,40.2,17.4,27.97,901.0,0.0,269.35,100,0,11.21
185,36.0,15.5,22.64,902.0,0.0,245.5,100,0,24.52
186,25.5,13.8,19.35,831.0,0.0,205.12,100,0,43.01
187,27.0,13.7,20.3,825.0,0.0,226.83,100,0,39.7
188,32.0,14.7,22.88,804.0,0.0,217.65,100,0,16.14
189,32.0,14.3,22.12,756.0,0.0,207.92,100,0,17.52
190,29.0,10.8,19.14,698.0,0.0,168.05,100,0,39.83
191,28.6,11.8,20.29,697.0,0.0,182.9,100,0,36.2
192,22.4,8.5,15.89,667.0,0.0,158.04,100,0,29.57
193,24.6,6.1,15.92,674.0,0.0,176.76,100,0,21.27
194,24.0,4.7,14.06,660.0,0.0,164.39,100,0,14.57
195,23.9,2.2,13.84,648.0,0.0,154.34,100,0,33.08
