week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,4.807,2.071,3.5037,2020-12-31
2,4.698,2.122,3.4393,2021-01-07
3,4.659,2.186,3.3638,2021-01-14
4,5.01,2.245,3.5338,2021-01-21
5,4.895,1.956,3.4422,2021-01-28
6,4.602,1.697,3.2501,2021-02-04
7,4.6,1.843,3.2713,2021-02-11
8,4.459,1.586,3.149,2021-02-18
9,4.742,1.343,3.1859,2021-02-25
10,4.664,1.762,3.1267,2021-03-04
11,4.774,1.688,3.2388,2021-03-11
12,4.356,1.708,3.0037,2021-03-18
13,4.407,1.423,3.0233,2021-03-25
14,4.73,1.44,3.0031,2021-04-01
15,4.4,1.498,2.9914,2021-04-08
16,4.307,1.356,2.9033,2021-04-15
17,4.195,1.199,3.024,2021-04-22
18,4.791,1.906,3.075,2021-04-29
19,4.322,1.401,2.9624,2021-05-06
20,4.36,1.787,3.0389,2021-05-13
21,4.576,1.14,2.9203,2021-05-20
22,4.535,1.433,2.9891,2021-05-27
23,4.392,1.452,3.0782,2021-06-03
24,5.757,1.603,3.3215,2021-06-10
25,4.79,2.132,3.5208,2021-06-17
26,4.768,2.133,3.4412,2021-06-24
27,4.788,2.228,3.5007,2021-07-01
28,5.317,2.701,3.9189,2021-07-08
29,5.933,3.075,4.2265,2021-07-15
30,5.502,3.055,4.0658,2021-07-22
31,5.976,2.64,4.0697,2021-07-29
32,6.228,2.053,3.968,2021-08-05
33,6.28,2.937,4.4862,2021-08-12
34,5.856,2.478,3.8749,2021-08-19
35,6.563,2.852,4.1656,2021-08-26
36,6.024,2.847,4.1175,2021-09-02
37,6.572,2.853,4.328,2021-09-09
38,6.239,1.916,3.8036,2021-09-16
39,5.698,2.566,3.7801,2021-09-23
40,5.547,2.654,3.8025,2021-09-30
41,4.585,1.975,3.3788,2021-10-07
42,4.669,1.884,3.3363,2021-10-14
43,4.623,1.976,3.3046,2021-10-21
44,4.99,2.098,3.3844,2021-10-28
45,4.753,1.701,3.3228,2021-11-04
46,5.387,2.333,3.455,2021-11-11
47,4.712,2.181,3.377,2021-11-18
48,4.84,2.11,3.3158,2021-11-25
49,6.136,2.279,3.62,2021-12-02
50,5.277,1.86,3.7627,2021-12-09
51,5.019,1.875,3.653,2021-12-16
52,4.826,2.292,3.6924,2021-12-23
53,4.828,1.925,3.5014,2021-12-30
54,4.95,2.155,3.4921,2022-01-06
55,4.772,2.45,3.4689,2022-01-13
56,4.599,1.924,3.386,2022-01-20
57,4.734,1.921,3.4845,2022-01-27
58,4.663,1.719,3.3414,2022-02-03
59,4.712,2.162,3.348,2022-02-10
60,4.797,1.763,3.3291,2022-02-17
61,4.523,1.723,3.1953,2022-02-24
62,4.483,1.786,3.1699,2022-03-03
63,4.539,1.642,3.08,2022-03-10
64,4.763,1.647,3.1039,2022-03-17
65,4.604,1.145,3.0557,2022-03-24
66,4.578,1.744,3.1805,2022-03-31
67,5.495,1.646,3.2511,2022-04-07
68,4.408,1.23,2.9074,2022-04-14
69,4.628,1.197,2.8908,2022-04-21
70,4.241,1.401,2.8943,2022-04-28
71,4.47,1.572,2.9351,2022-05-05
72,4.678,1.592,3.0767,2022-05-12
73,4.503,1.337,3.1648,2022-05-19
74,4.413,1.141,2.9644,2022-05-26
75,4.621,1.428,3.1786,2022-06-02
76,4.689,1.878,3.3701,2022-06-09
77,5.299,1.294,3.351,2022-06-16
78,5.775,2.253,3.9649,2022-06-23
79,5.273,1.78,3.574,2022-06-30
80,4.962,2.113,3.6025,2022-07-07
81,5.796,2.571,3.9524,2022-07-14
82,5.343,2.3,3.8901,2022-07-21
83,6.081,3.085,4.2486,2022-07-28
84,6.816,2.969,4.5623,2022-08-04
85,6.553,3.374,4.8222,2022-08-11
86,6.033,2.737,4.3432,2022-08-18
87,6.957,2.773,4.5334,2022-08-25
88,7.807,4.074,5.719,2022-09-01
89,7.232,3.182,5.0231,2022-09-08
90,5.349,2.109,3.7381,2022-09-15
91,6.65,3.041,4.3978,2022-09-22
92,5.446,2.133,3.9386,2022-09-29
93,5.31,2.614,3.9551,2022-10-06
94,6.169,2.797,3.8762,2022-10-13
95,5.591,1.915,3.5835,2022-10-20
96,4.8,2.099,3.4321,2022-10-27
97,4.695,1.773,3.4448,2022-11-03
98,4.725,1.907,3.3901,2022-11-10
99,4.586,2.241,3.4226,2022-11-17
100,4.756,1.806,3.3298,2022-11-24
101,5.119,2.11,3.602,2022-12-01
102,5.184,1.92,3.7901,2022-12-08
103,5.107,2.324,3.7818,2022-12-15
104,4.948,2.022,3.5442,2022-12-22
105,4.993,2.598,3.6885,2022-12-29
106,4.887,1.814,3.644,2023-01-05
107,4.902,2.339,3.7535,2023-01-12
108,4.757,1.909,3.5746,2023-01-19
109,5.093,2.298,3.5897,2023-01-26
110,4.775,1.789,3.4209,2023-02-02
111,4.825,1.563,3.3777,2023-02-09
112,4.961,1.756,3.4126,2023-02-16
113,5.157,1.667,3.659,2023-02-23
114,4.817,1.782,3.3374,2023-03-02
115,4.716,1.887,3.433,2023-03-09
116,4.69,1.373,3.3075,2023-03-16
117,4.467,1.464,3.1726,2023-03-23
118,4.394,0.939,3.0609,2023-03-30
119,4.363,0.932,2.9532,2023-04-06
120,4.352,1.224,3.1233,2023-04-13
121,4.501,1.108,2.9548,2023-04-20
122,4.302,0.988,2.9651,2023-04-27
123,4.28,0.828,2.8791,2023-05-04
124,4.323,1.161,3.0497,2023-05-11
125,4.287,1.009,3.2352,2023-05-18
126,4.948,1.38,3.0185,2023-05-25
127,5.224,0.672,3.0389,2023-06-01
128,4.67,1.585,3.1767,2023-06-08
129,4.504,1.703,3.186,2023-06-15
130,4.458,0.976,2.9417,2023-06-22
131,4.646,1.491,3.1692,2023-06-29
132,5.302,1.281,3.3266,2023-07-06
133,5.92,2.308,4.115,2023-07-13
134,6.453,2.495,4.2099,2023-07-20
135,6.095,3.005,4.3989,2023-07-27
136,5.714,2.346,4.0377,2023-08-03
137,6.128,2.28,4.1233,2023-08-10
138,5.683,2.529,4.0534,2023-08-17
139,6.675,2.065,4.2711,2023-08-24
140,5.713,1.795,3.9924,2023-08-31
141,6.425,2.661,4.393,2023-09-07
142,5.041,2.185,3.7217,2023-09-14
143,5.086,1.546,3.5653,2023-09-21
144,5.165,1.707,3.4321,2023-09-28
145,5.578,2.136,3.796,2023-10-05
146,5.137,1.429,3.4877,2023-10-12
147,5.405,1.407,3.6481,2023-10-19
148,4.726,1.514,3.3357,2023-10-26
149,4.648,1.889,3.3854,2023-11-02
150,4.724,1.661,3.4199,2023-11-09
151,4.706,2.325,3.459,2023-11-16
152,4.683,1.577,3.3329,2023-11-23
153,4.814,1.733,3.5541,2023-11-30
154,4.9,2.047,3.5972,2023-12-07
155,4.935,2.393,3.6501,2023-12-14
156,4.654,2.496,3.5041,2023-12-21
157,4.727,2.423,3.5229,2023-12-28
158,4.937,1.964,3.6755,2024-01-04
159,4.755,2.233,3.6076,2024-01-11
