week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,10.456,1.018,4.6469,2020-12-31
2,10.677,1.092,4.658,2021-01-07
3,10.433,1.043,4.6311,2021-01-14
4,10.502,1.175,4.7148,2021-01-21
5,10.242,0.974,4.5967,2021-01-28
6,10.379,0.951,4.5365,2021-02-04
7,10.352,0.902,4.5292,2021-02-11
8,10.495,0.818,4.4775,2021-02-18
9,10.455,0.737,4.5013,2021-02-25
10,10.263,0.917,4.4701,2021-03-04
11,10.646,0.84,4.5096,2021-03-11
12,10.503,0.859,4.3928,2021-03-18
13,10.399,0.675,4.4046,2021-03-25
14,10.311,0.718,4.3987,2021-04-01
15,10.625,0.769,4.3826,2021-04-08
16,10.571,0.659,4.3239,2021-04-15
17,10.511,0.616,4.3863,2021-04-22
18,10.756,0.866,4.4401,2021-04-29
19,10.559,0.702,4.3522,2021-05-06
20,10.675,0.872,4.3747,2021-05-13
21,10.535,0.612,4.3269,2021-05-20
22,10.447,0.731,4.3904,2021-05-27
23,10.811,0.699,4.4219,2021-06-03
24,10.937,0.827,4.5907,2021-06-10
25,10.799,1.098,4.716,2021-06-17
26,10.735,1.099,4.6387,2021-06-24
27,11.023,1.063,4.7153,2021-07-01
28,11.093,1.331,4.9851,2021-07-08
29,11.609,1.53,5.131,2021-07-15
30,11.471,1.558,5.0623,2021-07-22
31,11.206,1.342,5.0567,2021-07-29
32,11.374,1.042,4.9787,2021-08-05
33,11.538,1.464,5.2807,2021-08-12
34,11.048,1.282,4.9067,2021-08-19
35,11.544,1.43,5.1064,2021-08-26
36,11.173,1.411,5.0967,2021-09-02
37,11.439,1.412,5.2233,2021-09-09
38,11.328,0.983,4.8887,2021-09-16
39,10.669,1.304,4.8407,2021-09-23
40,10.944,1.337,4.8675,2021-09-30
41,10.432,0.947,4.6117,2021-10-07
42,10.782,1.021,4.6004,2021-10-14
43,10.525,0.998,4.5633,2021-10-21
44,10.479,1.001,4.636,2021-10-28
45,10.467,0.837,4.5948,2021-11-04
46,10.448,1.146,4.6537,2021-11-11
47,10.384,1.054,4.5822,2021-11-18
48,10.402,1.037,4.5603,2021-11-25
49,10.717,1.126,4.7693,2021-12-02
50,10.669,0.986,4.8344,2021-12-09
51,10.739,0.887,4.7929,2021-12-16
52,10.521,1.117,4.7773,2021-12-23
53,10.721,0.942,4.6684,2021-12-30
54,10.517,1.073,4.7285,2022-01-06
55,10.467,1.21,4.6619,2022-01-13
56,10.563,0.914,4.6208,2022-01-20
57,10.522,0.939,4.6697,2022-01-27
58,10.846,0.939,4.5977,2022-02-03
59,10.256,1.05,4.5591,2022-02-10
60,10.393,0.879,4.5821,2022-02-17
61,10.607,0.874,4.5197,2022-02-24
