week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,2.852,1.126,2.0048,2020-12-31
2,2.724,1.212,1.9722,2021-01-07
3,2.678,1.281,1.9384,2021-01-14
4,2.923,1.347,2.0334,2021-01-21
5,2.72,1.11,1.9658,2021-01-28
6,2.71,1.01,1.8715,2021-02-04
7,2.588,1.021,1.8751,2021-02-11
8,2.629,0.911,1.7962,2021-02-18
9,2.796,0.778,1.8291,2021-02-25
10,2.687,1.014,1.7872,2021-03-04
11,2.643,0.985,1.8557,2021-03-11
12,2.555,0.978,1.7169,2021-03-18
13,2.518,0.835,1.7243,2021-03-25
14,2.612,0.831,1.7147,2021-04-01
15,2.472,0.874,1.7132,2021-04-08
16,2.487,0.768,1.6632,2021-04-15
17,2.396,0.689,1.732,2021-04-22
18,2.749,1.039,1.7596,2021-04-29
19,2.429,0.813,1.6881,2021-05-06
20,2.509,1.081,1.735,2021-05-13
21,2.627,0.656,1.6723,2021-05-20
22,2.503,0.828,1.7077,2021-05-27
23,2.564,0.841,1.7607,2021-06-03
24,3.647,0.917,1.8998,2021-06-10
25,2.793,1.275,2.0248,2021-06-17
26,2.734,1.226,1.9678,2021-06-24
27,2.78,1.28,2.0059,2021-07-01
28,3.085,1.517,2.241,2021-07-08
29,3.401,1.742,2.4123,2021-07-15
30,3.255,1.741,2.3251,2021-07-22
31,3.552,1.486,2.3328,2021-07-29
32,3.571,1.269,2.2567,2021-08-05
33,3.638,1.707,2.5676,2021-08-12
34,3.364,1.522,2.221,2021-08-19
35,3.67,1.667,2.3733,2021-08-26
36,3.435,1.599,2.3617,2021-09-02
37,3.673,1.651,2.4694,2021-09-09
38,3.703,1.155,2.1843,2021-09-16
39,3.238,1.499,2.1677,2021-09-23
40,3.108,1.534,2.1798,2021-09-30
41,2.731,1.078,1.9381,2021-10-07
42,2.678,1.207,1.9039,2021-10-14
43,2.627,1.092,1.8914,2021-10-21
44,3.002,1.212,1.9433,2021-10-28
45,2.639,1.026,1.8887,2021-11-04
46,3.072,1.322,1.9774,2021-11-11
47,2.673,1.162,1.9335,2021-11-18
48,2.697,1.206,1.8879,2021-11-25
49,3.587,1.281,2.0768,2021-12-02
50,2.963,1.153,2.1492,2021-12-09
51,3.005,1.08,2.0981,2021-12-16
52,2.824,1.267,2.1112,2021-12-23
53,2.791,1.038,2.0022,2021-12-30
54,2.757,1.295,2.0064,2022-01-06
55,2.723,1.387,2.0023,2022-01-13
56,2.681,1.07,1.9354,2022-01-20
57,2.739,1.071,1.9961,2022-01-27
58,2.784,1.055,1.9122,2022-02-03
59,2.629,1.216,1.9138,2022-02-10
60,2.698,0.97,1.9059,2022-02-17
61,2.66,0.991,1.8361,2022-02-24
62,2.653,1.023,1.8216,2022-03-03
63,2.625,0.924,1.7627,2022-03-10
64,2.84,0.884,1.7801,2022-03-17
65,2.686,0.664,1.7512,2022-03-24
66,2.645,1.029,1.8291,2022-03-31
67,3.151,0.936,1.8556,2022-04-07
68,2.584,0.67,1.6629,2022-04-14
69,2.6,0.682,1.6607,2022-04-21
70,2.43,0.768,1.6528,2022-04-28
71,2.434,0.93,1.6804,2022-05-05
72,2.687,0.914,1.7631,2022-05-12
73,2.49,0.78,1.8039,2022-05-19
74,2.495,0.626,1.6988,2022-05-26
75,2.605,0.812,1.8204,2022-06-02
76,2.695,1.071,1.925,2022-06-09
77,2.897,0.746,1.9131,2022-06-16
78,3.246,1.237,2.2719,2022-06-23
