file_num,location,latitude,longitude,roof_length_m,roof_breadth_m,budget_usd,panel_brand
1,La_Jolla,32.8328,-117.2713,5,5,5000,REC Group
2,La_Jolla,32.8328,-117.2713,5,5,5000,Canadian Solar
3,La_Jolla,32.8328,-117.2713,5,5,5000,Aiko Solar
4,La_Jolla,32.8328,-117.2713,5,5,10000,REC Group
5,La_Jolla,32.8328,-117.2713,5,5,10000,Canadian Solar
6,La_Jolla,32.8328,-117.2713,5,5,10000,Aiko Solar
7,La_Jolla,32.8328,-117.2713,5,5,15000,REC Group
8,La_Jolla,32.8328,-117.2713,5,5,15000,Canadian Solar
9,La_Jolla,32.8328,-117.2713,5,5,15000,Aiko Solar
10,La_Jolla,32.8328,-117.2713,5,10,5000,REC Group
11,La_Jolla,32.8328,-117.2713,5,10,5000,Canadian Solar
12,La_Jolla,32.8328,-117.2713,5,10,5000,Aiko Solar
13,La_Jolla,32.8328,-117.2713,5,10,10000,REC Group
14,La_Jolla,32.8328,-117.2713,5,10,10000,Canadian Solar
15,La_Jolla,32.8328,-117.2713,5,10,10000,Aiko Solar
16,La_Jolla,32.8328,-117.2713,5,10,15000,REC Group
17,La_Jolla,32.8328,-117.2713,5,10,15000,Canadian Solar
18,La_Jolla,32.8328,-117.2713,5,10,15000,Aiko Solar
19,La_Jolla,32.8328,-117.2713,5,15,5000,REC Group
20,La_Jolla,32.8328,-117.2713,5,15,5000,Canadian Solar
21,La_Jolla,32.8328,-117.2713,5,15,5000,Aiko Solar
22,La_Jolla,32.8328,-117.2713,5,15,10000,REC Group
23,La_Jolla,32.8328,-117.2713,5,15,10000,Canadian Solar
24,La_Jolla,32.8328,-117.2713,5,15,10000,Aiko Solar
25,La_Jolla,32.8328,-117.2713,5,15,15000,REC Group
26,La_Jolla,32.8328,-117.2713,5,15,15000,Canadian Solar
27,La_Jolla,32.8328,-117.2713,5,15,15000,Aiko Solar
28,La_Jolla,32.8328,-117.2713,10,5,5000,REC Group
29,La_Jolla,32.8328,-117.2713,10,5,5000,Canadian Solar
30,La_Jolla,32.8328,-117.2713,10,5,5000,Aiko Solar
31,La_Jolla,32.8328,-117.2713,10,5,10000,REC Group
32,La_Jolla,32.8328,-117.2713,10,5,10000,Canadian Solar
33,La_Jolla,32.8328,-117.2713,10,5,10000,Aiko Solar
34,La_Jolla,32.8328,-117.2713,10,5,15000,REC Group
35,La_Jolla,32.8328,-117.2713,10,5,15000,Canadian Solar
36,La_Jolla,32.8328,-117.2713,10,5,15000,Aiko Solar
37,La_Jolla,32.8328,-117.2713,10,10,5000,REC Group
38,La_Jolla,32.8328,-117.2713,10,10,5000,Canadian Solar
39,La_Jolla,32.8328,-117.2713,10,10,5000,Aiko Solar
40,La_Jolla,32.8328,-117.2713,10,10,10000,REC Group
41,La_Jolla,32.8328,-117.2713,10,10,10000,Canadian Solar
42,La_Jolla,32.8328,-117.2713,10,10,10000,Aiko Solar
43,La_Jolla,32.8328,-117.2713,10,10,15000,REC Group
44,La_Jolla,32.8328,-117.2713,10,10,15000,Canadian Solar
45,La_Jolla,32.8328,-117.2713,10,10,15000,Aiko Solar
46,La_Jolla,32.8328,-117.2713,10,15,5000,REC Group
47,La_Jolla,32.8328,-117.2713,10,15,5000,Canadian Solar
48,La_Jolla,32.8328,-117.2713,10,15,5000,Aiko Solar
49,La_Jolla,32.8328,-117.2713,10,15,10000,REC Group
50,La_Jolla,32.8328,-117.2713,10,15,10000,Canadian Solar
51,La_Jolla,32.8328,-117.2713,10,15,10000,Aiko Solar
52,La_Jolla,32.8328,-117.2713,10,15,15000,REC Group
53,La_Jolla,32.8328,-117.2713,10,15,15000,Canadian Solar
54,La_Jolla,32.8328,-117.2713,10,15,15000,Aiko Solar
55,La_Jolla,32.8328,-117.2713,15,5,5000,REC Group
56,La_Jolla,32.8328,-117.2713,15,5,5000,Canadian Solar
57,La_Jolla,32.8328,-117.2713,15,5,5000,Aiko Solar
58,La_Jolla,32.8328,-117.2713,15,5,10000,REC Group
59,La_Jolla,32.8328,-117.2713,15,5,10000,Canadian Solar
60,La_Jolla,32.8328,-117.2713,15,5,10000,Aiko Solar
61,La_Jolla,32.8328,-117.2713,15,5,15000,REC Group
62,La_Jolla,32.8328,-117.2713,15,5,15000,Canadian Solar
63,La_Jolla,32.8328,-117.2713,15,5,15000,Aiko Solar
64,La_Jolla,32.8328,-117.2713,15,10,5000,REC Group
65,La_Jolla,32.8328,-117.2713,15,10,5000,Canadian Solar
66,La_Jolla,32.8328,-117.2713,15,10,5000,Aiko Solar
67,La_Jolla,32.8328,-117.2713,15,10,10000,REC Group
68,La_Jolla,32.8328,-117.2713,15,10,10000,Canadian Solar
69,La_Jolla,32.8328,-117.2713,15,10,10000,Aiko Solar
70,La_Jolla,32.8328,-117.2713,15,10,15000,REC Group
71,La_Jolla,32.8328,-117.2713,15,10,15000,Canadian Solar
72,La_Jolla,32.8328,-117.2713,15,10,15000,Aiko Solar
73,La_Jolla,32.8328,-117.2713,15,15,5000,REC Group
74,La_Jolla,32.8328,-117.2713,15,15,5000,Canadian Solar
75,La_Jolla,32.8328,-117.2713,15,15,5000,Aiko Solar
76,La_Jolla,32.8328,-117.2713,15,15,10000,REC Group
77,La_Jolla,32.8328,-117.2713,15,15,10000,Canadian Solar
78,La_Jolla,32.8328,-117.2713,15,15,10000,Aiko Solar
79,La_Jolla,32.8328,-117.2713,15,15,15000,REC Group
80,La_Jolla,32.8328,-117.2713,15,15,15000,Canadian Solar
81,La_Jolla,32.8328,-117.2713,15,15,15000,Aiko Solar
82,Oceanside,33.1959,-117.3795,5,5,5000,REC Group
83,Oceanside,33.1959,-117.3795,5,5,5000,Canadian Solar
84,Oceanside,33.1959,-117.3795,5,5,5000,Aiko Solar
85,Oceanside,33.1959,-117.3795,5,5,10000,REC Group
86,Oceanside,33.1959,-117.3795,5,5,10000,Canadian Solar
87,Oceanside,33.1959,-117.3795,5,5,10000,Aiko Solar
88,Oceanside,33.1959,-117.3795,5,5,15000,REC Group
89,Oceanside,33.1959,-117.3795,5,5,15000,Canadian Solar
90,Oceanside,33.1959,-117.3795,5,5,15000,Aiko Solar
91,Oceanside,33.1959,-117.3795,5,10,5000,REC Group
92,Oceanside,33.1959,-117.3795,5,10,5000,Canadian Solar
93,Oceanside,33.1959,-117.3795,5,10,5000,Aiko Solar
94,Oceanside,33.1959,-117.3795,5,10,10000,REC Group
95,Oceanside,33.1959,-117.3795,5,10,10000,Canadian Solar
96,Oceanside,33.1959,-117.3795,5,10,10000,Aiko Solar
97,Oceanside,33.1959,-117.3795,5,10,15000,REC Group
98,Oceanside,33.1959,-117.3795,5,10,15000,Canadian Solar
99,Oceanside,33.1959,-117.3795,5,10,15000,Aiko Solar
100,Oceanside,33.1959,-117.3795,5,15,5000,REC Group
101,Oceanside,33.1959,-117.3795,5,15,5000,Canadian Solar
102,Oceanside,33.1959,-117.3795,5,15,5000,Aiko Solar
103,Oceanside,33.1959,-117.3795,5,15,10000,REC Group
104,Oceanside,33.1959,-117.3795,5,15,10000,Canadian Solar
105,Oceanside,33.1959,-117.3795,5,15,10000,Aiko Solar
106,Oceanside,33.1959,-117.3795,5,15,15000,REC Group
107,Oceanside,33.1959,-117.3795,5,15,15000,Canadian Solar
108,Oceanside,33.1959,-117.3795,5,15,15000,Aiko Solar
109,Oceanside,33.1959,-117.3795,10,5,5000,REC Group
110,Oceanside,33.1959,-117.3795,10,5,5000,Canadian Solar
111,Oceanside,33.1959,-117.3795,10,5,5000,Aiko Solar
112,Oceanside,33.1959,-117.3795,10,5,10000,REC Group
113,Oceanside,33.1959,-117.3795,10,5,10000,Canadian Solar
114,Oceanside,33.1959,-117.3795,10,5,10000,Aiko Solar
115,Oceanside,33.1959,-117.3795,10,5,15000,REC Group
116,Oceanside,33.1959,-117.3795,10,5,15000,Canadian Solar
117,Oceanside,33.1959,-117.3795,10,5,15000,Aiko Solar
118,Oceanside,33.1959,-117.3795,10,10,5000,REC Group
119,Oceanside,33.1959,-117.3795,10,10,5000,Canadian Solar
120,Oceanside,33.1959,-117.3795,10,10,5000,Aiko Solar
121,Oceanside,33.1959,-117.3795,10,10,10000,REC Group
122,Oceanside,33.1959,-117.3795,10,10,10000,Canadian Solar
123,Oceanside,33.1959,-117.3795,10,10,10000,Aiko Solar
124,Oceanside,33.1959,-117.3795,10,10,15000,REC Group
125,Oceanside,33.1959,-117.3795,10,10,15000,Canadian Solar
126,Oceanside,33.1959,-117.3795,10,10,15000,Aiko Solar
127,Oceanside,33.1959,-117.3795,10,15,5000,REC Group
128,Oceanside,33.1959,-117.3795,10,15,5000,Canadian Solar
129,Oceanside,33.1959,-117.3795,10,15,5000,Aiko Solar
130,Oceanside,33.1959,-117.3795,10,15,10000,REC Group
131,Oceanside,33.1959,-117.3795,10,15,10000,Canadian Solar
132,Oceanside,33.1959,-117.3795,10,15,10000,Aiko Solar
133,Oceanside,33.1959,-117.3795,10,15,15000,REC Group
134,Oceanside,33.1959,-117.3795,10,15,15000,Canadian Solar
135,Oceanside,33.1959,-117.3795,10,15,15000,Aiko Solar
136,Oceanside,33.1959,-117.3795,15,5,5000,REC Group
137,Oceanside,33.1959,-117.3795,15,5,5000,Canadian Solar
138,Oceanside,33.1959,-117.3795,15,5,5000,Aiko Solar
139,Oceanside,33.1959,-117.3795,15,5,10000,REC Group
140,Oceanside,33.1959,-117.3795,15,5,10000,Canadian Solar
141,Oceanside,33.1959,-117.3795,15,5,10000,Aiko Solar
142,Oceanside,33.1959,-117.3795,15,5,15000,REC Group
143,Oceanside,33.1959,-117.3795,15,5,15000,Canadian Solar
144,Oceanside,33.1959,-117.3795,15,5,15000,Aiko Solar
145,Oceanside,33.1959,-117.3795,15,10,5000,REC Group
146,Oceanside,33.1959,-117.3795,15,10,5000,Canadian Solar
147,Oceanside,33.1959,-117.3795,15,10,5000,Aiko Solar
148,Oceanside,33.1959,-117.3795,15,10,10000,REC Group
149,Oceanside,33.1959,-117.3795,15,10,10000,Canadian Solar
150,Oceanside,33.1959,-117.3795,15,10,10000,Aiko Solar
151,Oceanside,33.1959,-117.3795,15,10,15000,REC Group
152,Oceanside,33.1959,-117.3795,15,10,15000,Canadian Solar
153,Oceanside,33.1959,-117.3795,15,10,15000,Aiko Solar
154,Oceanside,33.1959,-117.3795,15,15,5000,REC Group
155,Oceanside,33.1959,-117.3795,15,15,5000,Canadian Solar
156,Oceanside,33.1959,-117.3795,15,15,5000,Aiko Solar
157,Oceanside,33.1959,-117.3795,15,15,10000,REC Group
158,Oceanside,33.1959,-117.3795,15,15,10000,Canadian Solar
159,Oceanside,33.1959,-117.3795,15,15,10000,Aiko Solar
160,Oceanside,33.1959,-117.3795,15,15,15000,REC Group
161,Oceanside,33.1959,-117.3795,15,15,15000,Canadian Solar
162,Oceanside,33.1959,-117.3795,15,15,15000,Aiko Solar
163,Coronado,32.6859,-117.1831,5,5,5000,REC Group
164,Coronado,32.6859,-117.1831,5,5,5000,Canadian Solar
165,Coronado,32.6859,-117.1831,5,5,5000,Aiko Solar
166,Coronado,32.6859,-117.1831,5,5,10000,REC Group
167,Coronado,32.6859,-117.1831,5,5,10000,Canadian Solar
168,Coronado,32.6859,-117.1831,5,5,10000,Aiko Solar
169,Coronado,32.6859,-117.1831,5,5,15000,REC Group
170,Coronado,32.6859,-117.1831,5,5,15000,Canadian Solar
171,Coronado,32.6859,-117.1831,5,5,15000,Aiko Solar
172,Coronado,32.6859,-117.1831,5,10,5000,REC Group
173,Coronado,32.6859,-117.1831,5,10,5000,Canadian Solar
174,Coronado,32.6859,-117.1831,5,10,5000,Aiko Solar
175,Coronado,32.6859,-117.1831,5,10,10000,REC Group
176,Coronado,32.6859,-117.1831,5,10,10000,Canadian Solar
177,Coronado,32.6859,-117.1831,5,10,10000,Aiko Solar
178,Coronado,32.6859,-117.1831,5,10,15000,REC Group
179,Coronado,32.6859,-117.1831,5,10,15000,Canadian Solar
180,Coronado,32.6859,-117.1831,5,10,15000,Aiko Solar
181,Coronado,32.6859,-117.1831,5,15,5000,REC Group
182,Coronado,32.6859,-117.1831,5,15,5000,Canadian Solar
183,Coronado,32.6859,-117.1831,5,15,5000,Aiko Solar
184,Coronado,32.6859,-117.1831,5,15,10000,REC Group
185,Coronado,32.6859,-117.1831,5,15,10000,Canadian Solar
186,Coronado,32.6859,-117.1831,5,15,10000,Aiko Solar
187,Coronado,32.6859,-117.1831,5,15,15000,REC Group
188,Coronado,32.6859,-117.1831,5,15,15000,Canadian Solar
189,Coronado,32.6859,-117.1831,5,15,15000,Aiko Solar
190,Coronado,32.6859,-117.1831,10,5,5000,REC Group
191,Coronado,32.6859,-117.1831,10,5,5000,Canadian Solar
192,Coronado,32.6859,-117.1831,10,5,5000,Aiko Solar
193,Coronado,32.6859,-117.1831,10,5,10000,REC Group
194,Coronado,32.6859,-117.1831,10,5,10000,Canadian Solar
195,Coronado,32.6859,-117.1831,10,5,10000,Aiko Solar
196,Coronado,32.6859,-117.1831,10,5,15000,REC Group
197,Coronado,32.6859,-117.1831,10,5,15000,Canadian Solar
198,Coronado,32.6859,-117.1831,10,5,15000,Aiko Solar
199,Coronado,32.6859,-117.1831,10,10,5000,REC Group
200,Coronado,32.6859,-117.1831,10,10,5000,Canadian Solar
201,Coronado,32.6859,-117.1831,10,10,5000,Aiko Solar
202,Coronado,32.6859,-117.1831,10,10,10000,REC Group
203,Coronado,32.6859,-117.1831,10,10,10000,Canadian Solar
204,Coronado,32.6859,-117.1831,10,10,10000,Aiko Solar
205,Coronado,32.6859,-117.1831,10,10,15000,REC Group
206,Coronado,32.6859,-117.1831,10,10,15000,Canadian Solar
207,Coronado,32.6859,-117.1831,10,10,15000,Aiko Solar
208,Coronado,32.6859,-117.1831,10,15,5000,REC Group
209,Coronado,32.6859,-117.1831,10,15,5000,Canadian Solar
210,Coronado,32.6859,-117.1831,10,15,5000,Aiko Solar
211,Coronado,32.6859,-117.1831,10,15,10000,REC Group
212,Coronado,32.6859,-117.1831,10,15,10000,Canadian Solar
213,Coronado,32.6859,-117.1831,10,15,10000,Aiko Solar
214,Coronado,32.6859,-117.1831,10,15,15000,REC Group
215,Coronado,32.6859,-117.1831,10,15,15000,Canadian Solar
216,Coronado,32.6859,-117.1831,10,15,15000,Aiko Solar
217,Coronado,32.6859,-117.1831,15,5,5000,REC Group
218,Coronado,32.6859,-117.1831,15,5,5000,Canadian Solar
219,Coronado,32.6859,-117.1831,15,5,5000,Aiko Solar
220,Coronado,32.6859,-117.1831,15,5,10000,REC Group
221,Coronado,32.6859,-117.1831,15,5,10000,Canadian Solar
222,Coronado,32.6859,-117.1831,15,5,10000,Aiko Solar
223,Coronado,32.6859,-117.1831,15,5,15000,REC Group
224,Coronado,32.6859,-117.1831,15,5,15000,Canadian Solar
225,Coronado,32.6859,-117.1831,15,5,15000,Aiko Solar
226,Coronado,32.6859,-117.1831,15,10,5000,REC Group
227,Coronado,32.6859,-117.1831,15,10,5000,Canadian Solar
228,Coronado,32.6859,-117.1831,15,10,5000,Aiko Solar
229,Coronado,32.6859,-117.1831,15,10,10000,REC Group
230,Coronado,32.6859,-117.1831,15,10,10000,Canadian Solar
231,Coronado,32.6859,-117.1831,15,10,10000,Aiko Solar
232,Coronado,32.6859,-117.1831,15,10,15000,REC Group
233,Coronado,32.6859,-117.1831,15,10,15000,Canadian Solar
234,Coronado,32.6859,-117.1831,15,10,15000,Aiko Solar
235,Coronado,32.6859,-117.1831,15,15,5000,REC Group
236,Coronado,32.6859,-117.1831,15,15,5000,Canadian Solar
237,Coronado,32.6859,-117.1831,15,15,5000,Aiko Solar
238,Coronado,32.6859,-117.1831,15,15,10000,REC Group
239,Coronado,32.6859,-117.1831,15,15,10000,Canadian Solar
240,Coronado,32.6859,-117.1831,15,15,10000,Aiko Solar
241,Coronado,32.6859,-117.1831,15,15,15000,REC Group
242,Coronado,32.6859,-117.1831,15,15,15000,Canadian Solar
243,Coronado,32.6859,-117.1831,15,15,15000,Aiko Solar
159,Oceanside,33.1959,-117.3795,15,15,10000,Aiko Solar
159,Oceanside,33.1959,-117.3795,15,15,10000,Aiko Solar
160,Oceanside,33.1959,-117.3795,15,15,15000,REC Group
161,Oceanside,33.1959,-117.3795,15,15,15000,Canadian Solar
158,Oceanside,33.1959,-117.3795,15,15,10000,Canadian Solar
159,Oceanside,33.1959,-117.3795,15,15,10000,Aiko Solar
160,Oceanside,33.1959,-117.3795,15,15,15000,REC Group
161,Oceanside,33.1959,-117.3795,15,15,15000,Canadian Solar
162,Oceanside,33.1959,-117.3795,15,15,15000,Aiko Solar
163,Coronado,32.6859,-117.1831,5,5,5000,REC Group
164,Coronado,32.6859,-117.1831,5,5,5000,Canadian Solar
165,Coronado,32.6859,-117.1831,5,5,5000,Aiko Solar
166,Coronado,32.6859,-117.1831,5,5,10000,REC Group
167,Coronado,32.6859,-117.1831,5,5,10000,Canadian Solar
168,Coronado,32.6859,-117.1831,5,5,10000,Aiko Solar
169,Coronado,32.6859,-117.1831,5,5,15000,REC Group
170,Coronado,32.6859,-117.1831,5,5,15000,Canadian Solar
